,batsman,opponent_team,total_runs,total_balls_faced,strike_rate,dismissals
1,A Ashish Reddy,Chennai Super Kings,45,25,1.0,2
2,A Ashish Reddy,Delhi Daredevils,36,24,1.0,3
3,A Ashish Reddy,Kings XI Punjab,37,23,1.0,1
4,A Ashish Reddy,Kolkata Knight Riders,17,14,1.0,2
5,A Ashish Reddy,Mumbai Indians,27,25,1.0,2
6,A Ashish Reddy,Pune Warriors,26,19,1.0,0
7,A Ashish Reddy,Rajasthan Royals,37,24,1.0,1
8,A Ashish Reddy,Royal Challengers Bangalore,55,42,1.0,4
9,A Badoni,Chennai Super Kings,123,86,1.0,2
10,A Badoni,Delhi Capitals,129,85,1.0,4
11,A Badoni,Gujarat Titans,139,105,1.0,4
12,A Badoni,Kolkata Knight Riders,84,81,1.0,3
13,A Badoni,Mumbai Indians,73,54,1.0,4
14,A Badoni,Punjab Kings,101,81,1.0,4
15,A Badoni,Rajasthan Royals,75,69,1.0,5
16,A Badoni,Royal Challengers Bangalore,47,53,0.0,3
17,A Badoni,Royal Challengers Bengaluru,0,3,0.0,1
18,A Badoni,Sunrisers Hyderabad,80,51,1.0,2
19,A Chandila,Deccan Chargers,0,1,0.0,0
20,A Chandila,Royal Challengers Bangalore,4,6,0.0,0
21,A Chopra,Deccan Chargers,35,45,0.0,2
22,A Chopra,Delhi Daredevils,13,18,0.0,1
23,A Chopra,Kings XI Punjab,2,3,0.0,1
24,A Chopra,Mumbai Indians,1,4,0.0,0
25,A Chopra,Royal Challengers Bangalore,2,5,0.0,1
26,A Choudhary,Gujarat Lions,15,12,1.0,0
27,A Choudhary,Kings XI Punjab,4,6,0.0,1
28,A Choudhary,Sunrisers Hyderabad,6,2,3.0,0
29,A Dananjaya,Delhi Daredevils,4,5,0.0,0
30,A Flintoff,Delhi Daredevils,16,18,0.0,1
31,A Flintoff,Mumbai Indians,24,25,0.0,1
32,A Flintoff,Royal Challengers Bangalore,22,14,1.0,0
33,A Kamboj,Kolkata Knight Riders,5,6,0.0,0
34,A Kamboj,Sunrisers Hyderabad,2,4,0.0,1
35,A Kumble,Chennai Super Kings,3,6,0.0,0
36,A Kumble,Deccan Chargers,4,6,0.0,0
37,A Kumble,Delhi Daredevils,2,2,1.0,0
38,A Kumble,Kings XI Punjab,9,15,0.0,1
39,A Kumble,Mumbai Indians,9,12,0.0,0
40,A Kumble,Rajasthan Royals,8,8,1.0,1
41,A Manohar,Chennai Super Kings,12,12,1.0,1
42,A Manohar,Delhi Capitals,39,58,0.0,4
43,A Manohar,Kolkata Knight Riders,16,13,1.0,2
44,A Manohar,Lucknow Super Giants,20,18,1.0,2
45,A Manohar,Mumbai Indians,87,61,1.0,3
46,A Manohar,Rajasthan Royals,71,45,1.0,4
47,A Manohar,Sunrisers Hyderabad,35,24,1.0,2
48,A Mhatre,Mumbai Indians,32,17,1.0,1
49,A Mhatre,Sunrisers Hyderabad,30,19,1.0,1
50,A Mishra,Chennai Super Kings,58,64,0.0,4
51,A Mishra,Deccan Chargers,6,15,0.0,3
52,A Mishra,Delhi Daredevils,22,21,1.0,1
53,A Mishra,Gujarat Lions,8,2,4.0,0
54,A Mishra,Kings XI Punjab,27,36,0.0,1
55,A Mishra,Kochi Tuskers Kerala,0,1,0.0,1
56,A Mishra,Kolkata Knight Riders,62,66,0.0,2
57,A Mishra,Mumbai Indians,88,89,0.0,5
58,A Mishra,Pune Warriors,30,27,1.0,2
59,A Mishra,Rajasthan Royals,30,54,0.0,5
60,A Mishra,Rising Pune Supergiant,13,10,1.0,0
61,A Mishra,Royal Challengers Bangalore,36,52,0.0,3
62,A Mishra,Sunrisers Hyderabad,1,3,0.0,1
63,A Mithun,Chennai Super Kings,11,8,1.0,1
64,A Mithun,Delhi Daredevils,5,6,0.0,2
65,A Mithun,Kings XI Punjab,16,10,1.0,1
66,A Mithun,Kolkata Knight Riders,2,2,1.0,1
67,A Mukund,Rajasthan Royals,19,23,0.0,2
68,A Nehra,Chennai Super Kings,1,3,0.0,1
69,A Nehra,Deccan Chargers,22,16,1.0,0
70,A Nehra,Delhi Daredevils,1,1,1.0,0
71,A Nehra,Kings XI Punjab,6,21,0.0,1
72,A Nehra,Kolkata Knight Riders,1,5,0.0,1
73,A Nehra,Mumbai Indians,1,6,0.0,2
74,A Nehra,Rajasthan Royals,9,8,1.0,0
75,A Nehra,Royal Challengers Bangalore,0,2,0.0,0
76,A Nehra,Sunrisers Hyderabad,0,1,0.0,1
77,A Nortje,Chennai Super Kings,1,8,0.0,0
78,A Nortje,Gujarat Titans,7,8,0.0,0
79,A Nortje,Kings XI Punjab,3,1,3.0,0
80,A Nortje,Kolkata Knight Riders,4,7,0.0,1
81,A Nortje,Mumbai Indians,5,3,1.0,1
82,A Nortje,Rajasthan Royals,0,1,0.0,1
83,A Nortje,Royal Challengers Bangalore,23,14,1.0,0
84,A Nortje,Sunrisers Hyderabad,6,9,0.0,2
85,A Raghuvanshi,Chennai Super Kings,24,18,1.0,1
86,A Raghuvanshi,Delhi Capitals,54,28,1.0,1
87,A Raghuvanshi,Gujarat Titans,27,13,2.0,0
88,A Raghuvanshi,Lucknow Super Giants,44,38,1.0,3
89,A Raghuvanshi,Mumbai Indians,39,23,1.0,2
90,A Raghuvanshi,Punjab Kings,37,29,1.0,1
91,A Raghuvanshi,Rajasthan Royals,52,35,1.0,1
92,A Raghuvanshi,Royal Challengers Bengaluru,33,26,1.0,2
93,A Raghuvanshi,Sunrisers Hyderabad,50,32,1.0,1
94,A Singh,Chennai Super Kings,1,2,0.0,1
95,A Singh,Delhi Daredevils,0,1,0.0,1
96,A Singh,Kolkata Knight Riders,1,4,0.0,1
97,A Singh,Mumbai Indians,0,3,0.0,1
98,A Symonds,Chennai Super Kings,131,123,1.0,1
99,A Symonds,Deccan Chargers,52,52,1.0,1
100,A Symonds,Delhi Daredevils,170,109,1.0,5
101,A Symonds,Kings XI Punjab,154,121,1.0,3
102,A Symonds,Kolkata Knight Riders,100,102,0.0,4
103,A Symonds,Mumbai Indians,22,26,0.0,2
104,A Symonds,Pune Warriors,19,18,1.0,1
105,A Symonds,Rajasthan Royals,201,138,1.0,3
106,A Symonds,Royal Challengers Bangalore,125,92,1.0,4
107,A Tomar,Lucknow Super Giants,4,8,0.0,1
108,A Uniyal,Delhi Daredevils,4,6,0.0,0
109,A Uniyal,Mumbai Indians,0,1,0.0,1
110,A Zampa,Chennai Super Kings,1,1,1.0,1
111,A Zampa,Delhi Daredevils,5,7,0.0,1
112,A Zampa,Gujarat Titans,7,10,0.0,1
113,A Zampa,Royal Challengers Bangalore,2,6,0.0,1
114,A Zampa,Sunrisers Hyderabad,0,1,0.0,1
115,AA Bilakhia,Chennai Super Kings,12,14,0.0,0
116,AA Bilakhia,Delhi Daredevils,32,49,0.0,2
117,AA Bilakhia,Rajasthan Royals,3,9,0.0,2
118,AA Bilakhia,Royal Challengers Bangalore,22,16,1.0,1
119,AA Chavan,Delhi Daredevils,7,6,1.0,0
120,AA Chavan,Kochi Tuskers Kerala,1,3,0.0,0
121,AA Chavan,Mumbai Indians,4,2,2.0,1
122,AA Jhunjhunwala,Chennai Super Kings,19,11,1.0,2
123,AA Jhunjhunwala,Deccan Chargers,11,8,1.0,1
124,AA Jhunjhunwala,Delhi Daredevils,59,60,0.0,1
125,AA Jhunjhunwala,Kings XI Punjab,19,23,0.0,2
126,AA Jhunjhunwala,Kolkata Knight Riders,45,37,1.0,1
127,AA Jhunjhunwala,Mumbai Indians,46,50,0.0,3
128,AA Jhunjhunwala,Royal Challengers Bangalore,18,29,0.0,2
129,AA Kulkarni,Kolkata Knight Riders,9,7,1.0,1
130,AA Kulkarni,Mumbai Indians,0,1,0.0,1
131,AA Noffke,Kolkata Knight Riders,9,12,0.0,1
132,AB Agarkar,Chennai Super Kings,23,21,1.0,2
133,AB Agarkar,Deccan Chargers,15,8,1.0,1
134,AB Agarkar,Delhi Daredevils,56,42,1.0,2
135,AB Agarkar,Kings XI Punjab,10,11,0.0,0
136,AB Agarkar,Mumbai Indians,24,28,0.0,2
137,AB Agarkar,Rajasthan Royals,39,35,1.0,1
138,AB Agarkar,Royal Challengers Bangalore,12,15,0.0,0
139,AB Barath,Deccan Chargers,7,10,0.0,1
140,AB Barath,Delhi Daredevils,2,5,0.0,0
141,AB Barath,Mumbai Indians,33,28,1.0,1
142,AB de Villiers,Chennai Super Kings,532,361,1.0,22
143,AB de Villiers,Deccan Chargers,153,127,1.0,6
144,AB de Villiers,Delhi Capitals,179,132,1.0,5
145,AB de Villiers,Delhi Daredevils,409,233,1.0,4
146,AB de Villiers,Gujarat Lions,233,129,1.0,1
147,AB de Villiers,Kings XI Punjab,710,462,1.0,14
148,AB de Villiers,Kochi Tuskers Kerala,54,41,1.0,0
149,AB de Villiers,Kolkata Knight Riders,522,345,1.0,15
150,AB de Villiers,Mumbai Indians,791,545,1.0,17
151,AB de Villiers,Pune Warriors,149,70,2.0,2
152,AB de Villiers,Punjab Kings,26,27,0.0,2
153,AB de Villiers,Rajasthan Royals,652,454,1.0,12
154,AB de Villiers,Rising Pune Supergiant,32,40,0.0,2
155,AB de Villiers,Rising Pune Supergiants,84,49,1.0,2
156,AB de Villiers,Royal Challengers Bangalore,115,112,1.0,3
157,AB de Villiers,Sunrisers Hyderabad,540,360,1.0,15
158,AB Dinda,Chennai Super Kings,2,2,1.0,0
159,AB Dinda,Deccan Chargers,2,2,1.0,1
160,AB Dinda,Delhi Daredevils,7,8,0.0,1
161,AB Dinda,Kings XI Punjab,4,10,0.0,0
162,AB Dinda,Mumbai Indians,3,12,0.0,2
163,AB Dinda,Rajasthan Royals,1,6,0.0,2
164,AB Dinda,Royal Challengers Bangalore,7,7,1.0,1
165,AB Dinda,Sunrisers Hyderabad,0,3,0.0,2
166,AB McDonald,Chennai Super Kings,8,7,1.0,1
167,AB McDonald,Delhi Daredevils,30,21,1.0,2
168,AB McDonald,Kings XI Punjab,17,17,1.0,1
169,AB McDonald,Mumbai Indians,33,31,1.0,0
170,AB McDonald,Rajasthan Royals,14,9,1.0,0
171,AB McDonald,Royal Challengers Bangalore,21,18,1.0,1
172,Abdul Basith,Royal Challengers Bangalore,1,1,1.0,0
173,Abdul Samad,Chennai Super Kings,65,51,1.0,3
174,Abdul Samad,Delhi Capitals,116,81,1.0,5
175,Abdul Samad,Gujarat Titans,35,21,1.0,1
176,Abdul Samad,Kings XI Punjab,15,12,1.0,2
177,Abdul Samad,Kolkata Knight Riders,131,93,1.0,8
178,Abdul Samad,Lucknow Super Giants,58,36,1.0,1
179,Abdul Samad,Mumbai Indians,45,42,1.0,6
180,Abdul Samad,Punjab Kings,64,35,1.0,3
181,Abdul Samad,Rajasthan Royals,93,67,1.0,3
182,Abdul Samad,Royal Challengers Bangalore,1,5,0.0,2
183,Abdul Samad,Royal Challengers Bengaluru,47,17,2.0,1
184,Abdul Samad,Sunrisers Hyderabad,22,8,2.0,0
185,Abdur Razzak,Rajasthan Royals,0,2,0.0,0
186,Abhishek Sharma,Chennai Super Kings,251,169,1.0,9
187,Abhishek Sharma,Delhi Capitals,134,73,1.0,6
188,Abhishek Sharma,Gujarat Titans,159,121,1.0,5
189,Abhishek Sharma,Kings XI Punjab,17,10,1.0,1
190,Abhishek Sharma,Kolkata Knight Riders,134,115,1.0,9
191,Abhishek Sharma,Lucknow Super Giants,101,54,1.0,3
192,Abhishek Sharma,Mumbai Indians,194,139,1.0,10
193,Abhishek Sharma,Punjab Kings,297,159,1.0,5
194,Abhishek Sharma,Rajasthan Royals,133,102,1.0,6
195,Abhishek Sharma,Royal Challengers Bangalore,132,85,1.0,6
196,Abhishek Sharma,Royal Challengers Bengaluru,65,38,1.0,2
197,Abishek Porel,Chennai Super Kings,42,27,1.0,1
198,Abishek Porel,Gujarat Titans,53,30,1.0,3
199,Abishek Porel,Kolkata Knight Riders,18,21,0.0,2
200,Abishek Porel,Lucknow Super Giants,109,73,1.0,3
201,Abishek Porel,Mumbai Indians,111,88,1.0,4
202,Abishek Porel,Punjab Kings,32,10,3.0,0
203,Abishek Porel,Rajasthan Royals,130,92,1.0,4
204,Abishek Porel,Royal Challengers Bangalore,5,8,0.0,1
205,Abishek Porel,Royal Challengers Bengaluru,9,10,0.0,2
206,Abishek Porel,Sunrisers Hyderabad,76,42,1.0,1
207,AC Blizzard,Deccan Chargers,1,7,0.0,1
208,AC Blizzard,Delhi Daredevils,37,27,1.0,2
209,AC Blizzard,Kings XI Punjab,15,10,1.0,1
210,AC Blizzard,Kolkata Knight Riders,51,30,1.0,1
211,AC Blizzard,Pune Warriors,6,6,1.0,1
212,AC Blizzard,Royal Challengers Bangalore,10,11,0.0,1
213,AC Gilchrist,Chennai Super Kings,255,185,1.0,9
214,AC Gilchrist,Deccan Chargers,112,87,1.0,2
215,AC Gilchrist,Delhi Daredevils,321,202,1.0,12
216,AC Gilchrist,Kings XI Punjab,141,96,1.0,6
217,AC Gilchrist,Kochi Tuskers Kerala,9,17,0.0,1
218,AC Gilchrist,Kolkata Knight Riders,271,236,1.0,10
219,AC Gilchrist,Mumbai Indians,234,174,1.0,8
220,AC Gilchrist,Pune Warriors,50,52,0.0,5
221,AC Gilchrist,Rajasthan Royals,255,199,1.0,10
222,AC Gilchrist,Royal Challengers Bangalore,369,259,1.0,10
223,AC Gilchrist,Sunrisers Hyderabad,52,48,1.0,2
224,AC Thomas,Chennai Super Kings,1,2,0.0,0
225,AC Thomas,Deccan Chargers,12,9,1.0,1
226,AC Thomas,Mumbai Indians,0,2,0.0,0
227,AC Thomas,Royal Challengers Bangalore,7,6,1.0,1
228,AC Voges,Chennai Super Kings,20,19,1.0,1
229,AC Voges,Delhi Daredevils,15,17,0.0,1
230,AC Voges,Kings XI Punjab,45,24,1.0,0
231,AC Voges,Kolkata Knight Riders,45,29,1.0,1
232,AC Voges,Mumbai Indians,28,27,1.0,1
233,AC Voges,Royal Challengers Bangalore,28,27,1.0,0
234,AD Hales,Chennai Super Kings,2,9,0.0,1
235,AD Hales,Delhi Daredevils,59,42,1.0,2
236,AD Hales,Rajasthan Royals,45,39,1.0,1
237,AD Hales,Royal Challengers Bangalore,42,29,1.0,2
238,AD Mascarenhas,Chennai Super Kings,8,8,1.0,1
239,AD Mascarenhas,Delhi Daredevils,12,11,1.0,2
240,AD Mascarenhas,Kings XI Punjab,4,2,2.0,1
241,AD Mascarenhas,Kolkata Knight Riders,36,39,0.0,3
242,AD Mascarenhas,Mumbai Indians,9,8,1.0,0
243,AD Mascarenhas,Pune Warriors,5,5,1.0,1
244,AD Mascarenhas,Royal Challengers Bangalore,0,1,0.0,1
245,AD Mascarenhas,Sunrisers Hyderabad,5,5,1.0,0
246,AD Mathews,Chennai Super Kings,81,88,0.0,3
247,AD Mathews,Deccan Chargers,69,53,1.0,1
248,AD Mathews,Delhi Daredevils,106,72,1.0,1
249,AD Mathews,Kings XI Punjab,57,43,1.0,3
250,AD Mathews,Kolkata Knight Riders,126,97,1.0,5
251,AD Mathews,Mumbai Indians,51,43,1.0,4
252,AD Mathews,Rajasthan Royals,96,81,1.0,3
253,AD Mathews,Royal Challengers Bangalore,64,57,1.0,6
254,AD Mathews,Sunrisers Hyderabad,74,65,1.0,2
255,AD Nath,Chennai Super Kings,24,20,1.0,1
256,AD Nath,Delhi Capitals,19,12,1.0,1
257,AD Nath,Kings XI Punjab,3,8,0.0,2
258,AD Nath,Kolkata Knight Riders,13,16,0.0,1
259,AD Nath,Mumbai Indians,14,14,1.0,2
260,AD Nath,Rajasthan Royals,9,13,0.0,1
261,AD Nath,Royal Challengers Bangalore,3,6,0.0,1
262,AD Nath,Sunrisers Hyderabad,5,10,0.0,1
263,AD Russell,Chennai Super Kings,321,203,1.0,8
264,AD Russell,Delhi Capitals,272,173,1.0,7
265,AD Russell,Delhi Daredevils,107,64,1.0,4
266,AD Russell,Gujarat Titans,104,63,1.0,4
267,AD Russell,Kings XI Punjab,251,132,1.0,8
268,AD Russell,Kolkata Knight Riders,4,8,0.0,1
269,AD Russell,Lucknow Super Giants,76,54,1.0,5
270,AD Russell,Mumbai Indians,260,182,1.0,13
271,AD Russell,Punjab Kings,198,111,1.0,4
272,AD Russell,Rajasthan Royals,200,136,1.0,10
273,AD Russell,Rising Pune Supergiants,17,12,1.0,1
274,AD Russell,Royal Challengers Bangalore,396,210,1.0,10
275,AD Russell,Royal Challengers Bengaluru,31,27,1.0,1
276,AD Russell,Sunrisers Hyderabad,306,189,1.0,12
277,AF Milne,Chennai Super Kings,15,17,0.0,1
278,AF Milne,Kolkata Knight Riders,1,1,1.0,0
279,AF Milne,Mumbai Indians,0,1,0.0,0
280,AF Milne,Rising Pune Supergiant,7,11,0.0,2
281,AF Milne,Royal Challengers Bangalore,0,1,0.0,1
282,AG Murtaza,Kolkata Knight Riders,3,5,0.0,0
283,AG Murtaza,Rajasthan Royals,2,5,0.0,0
284,AG Murtaza,Royal Challengers Bangalore,5,4,1.0,1
285,AG Paunikar,Deccan Chargers,20,19,1.0,1
286,AG Paunikar,Delhi Daredevils,5,8,0.0,1
287,AG Paunikar,Kolkata Knight Riders,24,33,0.0,2
288,AG Paunikar,Royal Challengers Bangalore,0,1,0.0,1
289,AJ Finch,Chennai Super Kings,154,133,1.0,8
290,AJ Finch,Deccan Chargers,0,3,0.0,2
291,AJ Finch,Delhi Capitals,16,24,0.0,2
292,AJ Finch,Delhi Daredevils,284,199,1.0,7
293,AJ Finch,Kings XI Punjab,243,205,1.0,10
294,AJ Finch,Kolkata Knight Riders,315,240,1.0,11
295,AJ Finch,Lucknow Super Giants,14,15,0.0,1
296,AJ Finch,Mumbai Indians,268,237,1.0,9
297,AJ Finch,Pune Warriors,25,14,1.0,1
298,AJ Finch,Rajasthan Royals,225,195,1.0,10
299,AJ Finch,Rising Pune Supergiant,46,27,1.0,1
300,AJ Finch,Rising Pune Supergiants,50,37,1.0,1
301,AJ Finch,Royal Challengers Bangalore,240,194,1.0,10
302,AJ Finch,Sunrisers Hyderabad,212,173,1.0,9
303,AJ Hosein,Delhi Capitals,16,11,1.0,0
304,AJ Turner,Delhi Capitals,0,1,0.0,1
305,AJ Turner,Kings XI Punjab,0,2,0.0,1
306,AJ Turner,Kolkata Knight Riders,16,11,1.0,1
307,AJ Turner,Mumbai Indians,5,10,0.0,2
308,AJ Turner,Sunrisers Hyderabad,3,7,0.0,0
309,AJ Tye,Chennai Super Kings,3,6,0.0,1
310,AJ Tye,Delhi Capitals,6,7,0.0,1
311,AJ Tye,Delhi Daredevils,3,9,0.0,1
312,AJ Tye,Kings XI Punjab,22,12,1.0,1
313,AJ Tye,Kolkata Knight Riders,14,13,1.0,1
314,AJ Tye,Mumbai Indians,25,12,2.0,0
315,AJ Tye,Rajasthan Royals,1,1,1.0,0
316,AJ Tye,Royal Challengers Bangalore,13,17,0.0,2
317,AJ Tye,Sunrisers Hyderabad,4,2,2.0,1
318,AK Markram,Chennai Super Kings,130,100,1.0,6
319,AK Markram,Delhi Capitals,121,93,1.0,6
320,AK Markram,Gujarat Titans,153,109,1.0,4
321,AK Markram,Kolkata Knight Riders,294,214,1.0,7
322,AK Markram,Lucknow Super Giants,40,35,1.0,3
323,AK Markram,Mumbai Indians,174,133,1.0,4
324,AK Markram,Punjab Kings,127,85,1.0,3
325,AK Markram,Rajasthan Royals,156,116,1.0,3
326,AK Markram,Royal Challengers Bangalore,59,61,0.0,3
327,AK Markram,Royal Challengers Bengaluru,39,26,1.0,1
328,AK Markram,Sunrisers Hyderabad,28,36,0.0,2
329,Akash Deep,Chennai Super Kings,0,2,0.0,1
330,Akash Deep,Kolkata Knight Riders,17,8,2.0,1
331,Akash Deep,Mumbai Indians,2,3,0.0,1
332,Akash Madhwal,Rajasthan Royals,4,5,0.0,0
333,AL Menaria,Chennai Super Kings,46,53,0.0,3
334,AL Menaria,Deccan Chargers,42,37,1.0,2
335,AL Menaria,Delhi Daredevils,25,21,1.0,3
336,AL Menaria,Kings XI Punjab,68,57,1.0,3
337,AL Menaria,Kochi Tuskers Kerala,31,30,1.0,1
338,AL Menaria,Kolkata Knight Riders,89,78,1.0,4
339,AL Menaria,Mumbai Indians,45,42,1.0,2
340,AL Menaria,Pune Warriors,47,43,1.0,2
341,AL Menaria,Royal Challengers Bangalore,8,6,1.0,1
342,AM Nayar,Chennai Super Kings,147,101,1.0,5
343,AM Nayar,Deccan Chargers,99,71,1.0,5
344,AM Nayar,Delhi Daredevils,42,54,0.0,4
345,AM Nayar,Kings XI Punjab,94,87,1.0,4
346,AM Nayar,Kolkata Knight Riders,13,18,0.0,2
347,AM Nayar,Mumbai Indians,31,31,1.0,3
348,AM Nayar,Pune Warriors,36,46,0.0,2
349,AM Nayar,Rajasthan Royals,92,73,1.0,4
350,AM Nayar,Royal Challengers Bangalore,95,88,1.0,4
351,AM Nayar,Sunrisers Hyderabad,23,19,1.0,3
352,AM Rahane,Chennai Super Kings,337,285,1.0,15
353,AM Rahane,Deccan Chargers,50,46,1.0,3
354,AM Rahane,Delhi Capitals,181,134,1.0,4
355,AM Rahane,Delhi Daredevils,677,538,1.0,11
356,AM Rahane,Gujarat Lions,78,71,1.0,3
357,AM Rahane,Gujarat Titans,107,79,1.0,5
358,AM Rahane,Kings XI Punjab,455,409,1.0,13
359,AM Rahane,Kochi Tuskers Kerala,8,9,0.0,1
360,AM Rahane,Kolkata Knight Riders,565,450,1.0,19
361,AM Rahane,Lucknow Super Giants,98,67,1.0,3
362,AM Rahane,Mumbai Indians,723,590,1.0,24
363,AM Rahane,Pune Warriors,173,137,1.0,4
364,AM Rahane,Punjab Kings,67,61,1.0,4
365,AM Rahane,Rajasthan Royals,77,75,1.0,6
366,AM Rahane,Royal Challengers Bangalore,685,539,1.0,18
367,AM Rahane,Royal Challengers Bengaluru,116,74,1.0,3
368,AM Rahane,Sunrisers Hyderabad,516,487,1.0,20
369,Aman Hakim Khan,Chennai Super Kings,9,16,0.0,1
370,Aman Hakim Khan,Gujarat Titans,59,52,1.0,2
371,Aman Hakim Khan,Kolkata Knight Riders,0,2,0.0,1
372,Aman Hakim Khan,Lucknow Super Giants,4,5,0.0,1
373,Aman Hakim Khan,Punjab Kings,16,18,0.0,1
374,Aman Hakim Khan,Royal Challengers Bangalore,18,11,1.0,1
375,Aman Hakim Khan,Sunrisers Hyderabad,9,5,1.0,2
376,AN Ahmed,Chennai Super Kings,8,9,0.0,0
377,AN Ahmed,Kolkata Knight Riders,5,2,2.0,0
378,AN Ahmed,Mumbai Indians,1,1,1.0,0
379,AN Ahmed,Royal Challengers Bangalore,18,13,1.0,0
380,AN Ahmed,Sunrisers Hyderabad,4,2,2.0,1
381,AN Ghosh,Mumbai Indians,0,1,0.0,1
382,AN Ghosh,Royal Challengers Bangalore,7,7,1.0,1
383,Aniket Verma,Chennai Super Kings,19,21,0.0,1
384,Aniket Verma,Delhi Capitals,74,42,1.0,1
385,Aniket Verma,Gujarat Titans,18,14,1.0,1
386,Aniket Verma,Kolkata Knight Riders,6,8,0.0,1
387,Aniket Verma,Lucknow Super Giants,36,14,2.0,1
388,Aniket Verma,Mumbai Indians,30,22,1.0,1
389,Aniket Verma,Rajasthan Royals,7,3,2.0,1
390,Anirudh Singh,Kings XI Punjab,0,1,0.0,1
391,Anirudh Singh,Kolkata Knight Riders,14,14,1.0,1
392,Anirudh Singh,Rajasthan Royals,9,12,0.0,1
393,Anirudh Singh,Royal Challengers Bangalore,40,42,0.0,1
394,Ankit Sharma,Chennai Super Kings,45,36,1.0,3
395,Ankit Sharma,Delhi Daredevils,1,1,1.0,0
396,Ankit Sharma,Gujarat Lions,25,16,1.0,1
397,Ankit Sharma,Kolkata Knight Riders,1,2,0.0,1
398,Ankit Sharma,Mumbai Indians,5,6,0.0,2
399,Ankit Sharma,Royal Challengers Bangalore,10,8,1.0,0
400,Ankit Soni,Mumbai Indians,7,2,3.0,0
401,Ankit Soni,Rising Pune Supergiant,0,1,0.0,1
402,Ankit Soni,Sunrisers Hyderabad,0,6,0.0,1
403,Anmolpreet Singh,Chennai Super Kings,16,15,1.0,2
404,Anmolpreet Singh,Delhi Capitals,8,9,0.0,1
405,Anmolpreet Singh,Gujarat Titans,5,4,1.0,1
406,Anmolpreet Singh,Lucknow Super Giants,67,54,1.0,2
407,Anmolpreet Singh,Rajasthan Royals,43,35,1.0,3
408,Anuj Rawat,Chennai Super Kings,60,42,1.0,1
409,Anuj Rawat,Delhi Capitals,23,26,0.0,1
410,Anuj Rawat,Gujarat Titans,23,16,1.0,0
411,Anuj Rawat,Kolkata Knight Riders,4,11,0.0,4
412,Anuj Rawat,Lucknow Super Giants,24,39,0.0,3
413,Anuj Rawat,Mumbai Indians,72,53,1.0,1
414,Anuj Rawat,Punjab Kings,32,35,0.0,2
415,Anuj Rawat,Rajasthan Royals,55,37,1.0,1
416,Anuj Rawat,Sunrisers Hyderabad,25,17,1.0,1
417,Anureet Singh,Chennai Super Kings,10,20,0.0,1
418,Anureet Singh,Delhi Daredevils,8,3,2.0,0
419,Anureet Singh,Kolkata Knight Riders,3,5,0.0,0
420,Anureet Singh,Rajasthan Royals,0,3,0.0,0
421,Anureet Singh,Royal Challengers Bangalore,0,2,0.0,1
422,Anureet Singh,Sunrisers Hyderabad,15,14,1.0,2
423,AP Dole,Deccan Chargers,4,4,1.0,1
424,AP Dole,Mumbai Indians,30,19,1.0,1
425,AP Majumdar,Kolkata Knight Riders,17,22,0.0,1
426,AP Majumdar,Rajasthan Royals,39,28,1.0,2
427,AP Majumdar,Royal Challengers Bangalore,31,27,1.0,1
428,AP Tare,Chennai Super Kings,39,33,1.0,5
429,AP Tare,Delhi Daredevils,39,30,1.0,3
430,AP Tare,Kings XI Punjab,45,29,1.0,3
431,AP Tare,Kolkata Knight Riders,34,36,0.0,3
432,AP Tare,Mumbai Indians,0,1,0.0,1
433,AP Tare,Rajasthan Royals,123,81,1.0,3
434,AP Tare,Rising Pune Supergiant,0,6,0.0,1
435,AP Tare,Rising Pune Supergiants,8,14,0.0,1
436,AP Tare,Royal Challengers Bangalore,44,50,0.0,3
437,AP Tare,Sunrisers Hyderabad,7,5,1.0,1
438,AR Bawne,Kolkata Knight Riders,12,12,1.0,0
439,AR Patel,Chennai Super Kings,179,154,1.0,12
440,AR Patel,Delhi Daredevils,148,131,1.0,4
441,AR Patel,Gujarat Lions,40,23,1.0,2
442,AR Patel,Gujarat Titans,176,134,1.0,5
443,AR Patel,Kings XI Punjab,7,10,0.0,2
444,AR Patel,Kolkata Knight Riders,162,150,1.0,10
445,AR Patel,Lucknow Super Giants,128,78,1.0,2
446,AR Patel,Mumbai Indians,281,200,1.0,12
447,AR Patel,Punjab Kings,39,36,1.0,2
448,AR Patel,Rajasthan Royals,153,122,1.0,10
449,AR Patel,Rising Pune Supergiant,46,46,1.0,2
450,AR Patel,Rising Pune Supergiants,1,3,0.0,1
451,AR Patel,Royal Challengers Bangalore,192,128,1.0,5
452,AR Patel,Royal Challengers Bengaluru,72,51,1.0,2
453,AR Patel,Sunrisers Hyderabad,203,162,1.0,9
454,Arjun Tendulkar,Gujarat Titans,13,9,1.0,1
455,Arshad Khan,Chennai Super Kings,3,6,0.0,2
456,Arshad Khan,Delhi Capitals,78,51,1.0,0
457,Arshad Khan,Mumbai Indians,0,1,0.0,1
458,Arshad Khan,Punjab Kings,1,1,1.0,0
459,Arshad Khan,Royal Challengers Bangalore,15,9,1.0,0
460,Arshad Khan (2),Kolkata Knight Riders,5,4,1.0,1
461,Arshdeep Singh,Delhi Capitals,11,20,0.0,1
462,Arshdeep Singh,Gujarat Titans,10,5,2.0,0
463,Arshdeep Singh,Kolkata Knight Riders,2,3,0.0,1
464,Arshdeep Singh,Lucknow Super Giants,2,5,0.0,0
