bowler,balls_bowled,runs_conceded,wickets_taken,economy_rate
DP Nannes,216,207,10,5.75
BW Hilfenhaus,168,183,10,6.54
WPUJC Vaas,132,144,12,6.55
SP Narine,1176,1298,29,6.62
Iqbal Abdulla,294,325,14,6.63
YK Pathan,306,344,14,6.75
JJ Bumrah,1086,1229,34,6.79
SL Malinga,942,1077,27,6.86
DW Steyn,876,1004,24,6.88
AD Mascarenhas,156,179,12,6.88
JC Archer,402,463,15,6.91
Harbhajan Singh,923,1065,38,6.92
A Mishra,456,527,21,6.93
MM Patel,648,749,30,6.94
KV Sharma,288,337,14,7.02
R Ashwin,1390,1635,45,7.06
RJ Harris,348,411,10,7.09
Z Khan,920,1095,41,7.14
R Vinay Kumar,816,976,32,7.18
Rashid Khan,522,627,26,7.21
AR Patel,852,1030,30,7.25
B Kumar,1493,1810,51,7.27
SR Watson,834,1011,33,7.27
Shakib Al Hasan,546,662,21,7.27
PP Ojha,420,512,16,7.31
S Gopal,252,307,10,7.31
L Balaji,414,507,15,7.35
RA Jadeja,672,824,25,7.36
RP Singh,882,1084,36,7.37
Mustafizur Rahman,390,481,13,7.4
SK Trivedi,234,290,11,7.44
DE Bollinger,318,395,11,7.45
JH Kallis,650,809,21,7.47
DJ Bravo,372,467,19,7.53
JR Hazlewood,444,560,19,7.57
KH Pandya,702,887,19,7.58
CV Varun,420,532,14,7.6
S Sreesanth,528,670,24,7.61
Sandeep Sharma,1260,1603,51,7.63
M Morkel,834,1063,36,7.65
P Kumar,1116,1430,29,7.69
S Aravind,420,538,19,7.69
YS Chahal,728,934,34,7.7
A Nehra,949,1223,35,7.73
JP Faulkner,396,512,14,7.76
NM Coulter-Nile,312,404,15,7.77
S Nadeem,342,445,12,7.81
MC Henriques,287,374,11,7.82
B Lee,288,376,10,7.83
PP Chawla,689,900,31,7.84
I Sharma,1353,1774,57,7.87
IK Pathan,714,939,21,7.89
GJ Maxwell,264,348,11,7.91
AB Dinda,672,891,27,7.96
DS Kulkarni,958,1274,39,7.98
CH Morris,642,859,20,8.03
WD Parnell,342,458,16,8.04
MM Sharma,858,1154,36,8.07
M Prasidh Krishna,564,761,17,8.1
AJ Tye,198,268,11,8.12
Washington Sundar,426,578,12,8.14
JD Unadkat,690,943,24,8.2
Shivam Mavi,294,403,12,8.22
T Natarajan,390,536,16,8.25
TA Boult,942,1305,35,8.31
P Awana,300,417,15,8.34
SM Curran,498,692,10,8.34
IC Pandey,264,368,10,8.36
MJ McClenaghan,534,748,26,8.4
M Theekshana,288,405,10,8.44
MG Johnson,498,701,20,8.45
UT Yadav,1260,1784,49,8.5
Mohammed Shami,1134,1613,41,8.53
A Nortje,372,530,19,8.55
LH Ferguson,320,456,18,8.55
HV Patel,480,685,16,8.56
VR Aaron,420,600,17,8.57
K Rabada,738,1064,33,8.65
KK Ahmed,636,919,28,8.67
MP Stoinis,189,273,10,8.67
DL Chahar,1015,1474,52,8.71
VG Arora,288,427,16,8.9
PJ Sangwan,402,597,14,8.91
Arshdeep Singh,630,937,28,8.92
HH Pandya,444,660,17,8.92
MS Gony,486,728,18,8.99
Mohammed Siraj,870,1310,35,9.03
PJ Cummins,576,868,23,9.04
AD Russell,449,678,22,9.06
JA Morkel,732,1109,29,9.09
M Jansen,354,541,14,9.17
Harshit Rana,240,370,16,9.25
Avesh Khan,576,889,22,9.26
S Kaul,402,621,14,9.27
SN Thakur,678,1050,25,9.29
TU Deshpande,414,645,12,9.35
Yash Dayal,390,619,15,9.52
MA Starc,354,571,18,9.68
