batsman,batsman_runs,average,strike_rate,best_score
AP Tare,339,14.125,124.17582417582418,59
JEC Franklin,327,29.727272727272727,108.63787375415282,79
RN ten Doeschate,326,23.285714285714285,138.72340425531914,70
Ishan Kishan,319,21.266666666666666,129.1497975708502,61
KV Sharma,317,15.095238095238095,115.69343065693431,39
BA Stokes,316,31.6,142.98642533936652,103
DB Das,304,21.714285714285715,116.47509578544062,35
R Vinay Kumar,304,10.857142857142858,112.1771217712177,26
LA Pomersbach,302,27.454545454545453,122.76422764227641,79
UBT Chand,300,15.0,100.0,58
DJG Sammy,295,19.666666666666668,122.40663900414938,60
Y Nagar,285,20.357142857142858,110.03861003861005,44
VVS Laxman,282,14.842105263157896,105.61797752808988,52
A Ashish Reddy,280,18.666666666666668,145.0777202072539,36
B Chipli,280,18.666666666666668,111.55378486055776,61
GH Vihari,280,15.555555555555555,89.45686900958466,46
MJ Lumb,278,23.166666666666668,143.29896907216494,83
SP Narine,271,13.55,147.2826086956522,54
R Sathish,270,15.882352941176471,116.88311688311688,27
M Kaif,259,14.38888888888889,103.60000000000001,34
SM Katich,241,24.1,129.56989247311827,75
SP Goswami,241,16.066666666666666,96.01593625498009,52
MD Mishra,237,14.8125,113.9423076923077,41
R Ashwin,231,10.5,96.25,29
SW Billings,226,22.6,134.52380952380955,55
MR Marsh,225,18.75,114.79591836734696,38
K Goel,218,14.533333333333333,94.37229437229438,38
AA Jhunjhunwala,217,16.692307692307693,103.33333333333334,53
TM Head,205,29.285714285714285,138.51351351351352,75
PD Collingwood,203,40.6,130.12820512820514,75
SK Warne,198,9.9,92.5233644859813,34
SP Fleming,196,21.77777777777778,118.7878787878788,45
AS Raut,194,21.555555555555557,116.1676646706587,36
Salman Butt,193,27.571428571428573,119.87577639751552,73
BJ Rohrer,193,27.571428571428573,136.8794326241135,64
YV Takawale,192,24.0,107.86516853932584,45
MJ Guptill,189,21.0,132.16783216783216,50
Bipul Sharma,187,23.375,152.03252032520325,35
FY Fazal,183,18.3,105.78034682080926,45
AC Voges,181,45.25,126.57342657342659,45
AB Agarkar,179,17.9,116.23376623376625,39
SN Khan,177,29.5,173.52941176470588,45
MF Maharoof,177,17.7,143.90243902439025,39
