batsman,balls_faced,runs_scored,strike_rate
M Rawat,45,40,88.89
WD Parnell,53,47,88.68
SP Narine,53,46,86.79
Anureet Singh,34,29,85.29
VR Aaron,54,46,85.19
A Kumble,42,34,80.95
L Balaji,45,35,77.78
I Sharma,44,33,75.0
SK Trivedi,58,42,72.41
RP Singh,70,50,71.43
M Muralitharan,30,20,66.67
A Nehra,62,41,66.13
S Sreesanth,55,34,61.82
AB Dinda,40,20,50.0
S Nadeem,57,23,40.35
PV Tambe,30,12,40.0
PP Ojha,43,16,37.21
