bowler,balls_bowled,runs_conceded,wickets_taken,economy_rate
AG Murtaza,78,52,2,4.0
FH Edwards,78,61,3,4.69
A Kumble,108,90,3,5.0
SMSM Senanayake,126,111,4,5.29
A Chandila,144,139,10,5.79
A Symonds,114,110,4,5.79
Mustafizur Rahman,102,99,3,5.82
Mohammad Nabi,36,35,1,5.83
GD McGrath,222,218,8,5.89
SP Narine,498,493,16,5.94
T Thushara,60,60,3,6.0
R Rampaul,162,163,9,6.04
Ankit Sharma,138,141,6,6.13
R Ashwin,702,729,32,6.23
MN Samuels,78,81,2,6.23
Bipul Sharma,74,77,5,6.24
SM Pollock,204,213,8,6.26
B Kumar,1049,1098,40,6.28
SE Bond,90,95,4,6.33
SL Malinga,996,1052,35,6.34
Iqbal Abdulla,276,293,14,6.37
DW Steyn,1068,1136,30,6.38
JE Taylor,48,51,0,6.38
WPUJC Vaas,198,211,15,6.39
D Wiese,60,64,6,6.4
SB Styris,42,45,1,6.43
BW Hilfenhaus,240,260,12,6.5
AC Thomas,180,196,7,6.53
M Muralitharan,148,161,3,6.53
DL Vettori,90,98,2,6.53
Sohail Tanvir,132,145,6,6.59
A Mishra,120,132,6,6.6
DP Nannes,342,377,15,6.61
AJ Tye,36,40,3,6.67
Anand Rajan,42,47,0,6.71
R Sharma,90,101,2,6.73
GB Hogg,48,54,4,6.75
RJ Harris,426,480,14,6.76
Harbhajan Singh,546,616,19,6.77
Washington Sundar,108,122,4,6.78
Azhar Mahmood,144,163,6,6.79
YK Pathan,354,402,14,6.81
AA Chavan,144,164,3,6.83
AD Russell,192,220,9,6.88
AL Menaria,48,55,1,6.88
KW Richardson,162,186,9,6.89
P Kumar,1572,1813,40,6.92
CRD Fernando,78,90,7,6.92
Z Khan,1292,1492,52,6.93
BAW Mendis,58,67,2,6.93
A Singh,264,308,11,7.0
M Ntini,156,182,5,7.0
Rashid Khan,54,63,4,7.0
Umar Gul,36,42,4,7.0
KH Pandya,48,56,2,7.0
Sandeep Sharma,792,930,39,7.05
CK Langeveldt,84,99,6,7.07
PP Chawla,155,183,11,7.08
IC Pandey,264,312,11,7.09
SR Watson,768,909,33,7.1
JJ Bumrah,342,406,9,7.12
B Lee,486,580,11,7.16
JP Duminy,150,179,3,7.16
L Balaji,450,538,15,7.17
JD Unadkat,384,459,15,7.17
M Kartik,179,214,7,7.17
MA Starc,294,352,9,7.18
AM Salvi,66,79,1,7.18
MM Patel,654,784,29,7.19
KK Cooper,96,115,4,7.19
IK Pathan,918,1104,28,7.22
BA Bhatt,96,116,4,7.25
R Vinay Kumar,744,900,30,7.26
NM Coulter-Nile,288,349,12,7.27
S Nadeem,216,263,7,7.31
M Morkel,906,1107,36,7.33
DS Kulkarni,754,923,39,7.34
KV Sharma,156,191,6,7.35
AD Mascarenhas,168,206,12,7.36
YA Abdulla,84,103,7,7.36
J Yadav,84,103,0,7.36
Anureet Singh,162,199,7,7.37
Kuldeep Yadav,30,37,0,7.4
RP Singh,1002,1237,35,7.41
DP Vijaykumar,102,126,3,7.41
NLTC Perera,180,223,6,7.43
JH Kallis,516,640,18,7.44
I Sharma,999,1240,35,7.45
KMDN Kulasekara,66,82,3,7.45
BA Stokes,78,97,4,7.46
AB Dinda,810,1010,33,7.48
DE Bollinger,324,404,11,7.48
VS Malik,126,157,4,7.48
DNT Zoysa,36,45,0,7.5
S Badree,156,196,7,7.54
Shakib Al Hasan,282,355,10,7.55
SK Raina,66,83,2,7.55
MF Maharoof,168,212,8,7.57
STR Binny,138,174,5,7.57
Jaskaran Singh,42,53,2,7.57
TG Southee,360,456,9,7.6
A Nehra,1093,1387,40,7.61
AR Patel,162,206,3,7.63
S Aravind,426,543,20,7.65
A Choudhary,36,46,3,7.67
TA Boult,168,215,3,7.68
CH Morris,408,523,15,7.69
Shoaib Akhtar,42,54,5,7.71
MG Johnson,579,746,26,7.73
WD Parnell,270,348,10,7.73
RR Powar,132,171,4,7.77
S Sreesanth,570,739,27,7.78
Pankaj Singh,150,195,8,7.8
R Dhawan,78,102,2,7.85
MM Sharma,696,914,30,7.88
DJ Bravo,210,277,10,7.91
MJ McClenaghan,450,596,20,7.95
DT Christian,168,223,8,7.96
J Botha,192,255,4,7.97
SW Tait,228,304,7,8.0
SB Wagh,90,120,4,8.0
B Stanlake,36,48,1,8.0
JP Faulkner,371,496,16,8.02
P Awana,270,363,13,8.07
UT Yadav,744,1002,27,8.08
PP Ojha,240,324,6,8.1
AN Ahmed,138,187,3,8.13
RG Sharma,50,68,2,8.16
M de Lange,60,82,2,8.2
JJ van der Wath,30,41,0,8.2
S Kaul,162,222,5,8.22
DJ Muthuswami,72,99,3,8.25
TS Mills,42,58,3,8.29
JW Hastings,36,50,1,8.33
S Tyagi,168,234,5,8.36
VR Aaron,288,405,11,8.44
CH Gayle,120,169,3,8.45
JA Morkel,900,1300,34,8.67
DJ Hooda,54,78,1,8.67
SB Jakati,96,139,0,8.69
V Pratap Singh,96,140,3,8.75
PV Tambe,78,114,3,8.77
R Shukla,54,79,4,8.78
R McLaren,150,220,4,8.8
AD Mathews,126,185,6,8.81
Harmeet Singh,84,124,6,8.86
TM Dilshan,42,62,0,8.86
MC Henriques,173,256,8,8.88
MS Gony,486,722,18,8.91
RA Jadeja,84,125,4,8.93
Imran Tahir,36,54,3,9.0
KC Cariappa,30,45,0,9.0
SN Thakur,96,145,4,9.06
PJ Sangwan,318,481,12,9.08
K Rabada,72,109,3,9.08
HV Patel,192,292,7,9.13
Mohammed Shami,312,475,4,9.13
AB McDonald,42,64,3,9.14
BB Sran,144,220,5,9.17
Parvez Rasool,66,101,1,9.18
AS Rajpoot,48,74,2,9.25
P Suyal,60,93,1,9.3
P Negi,36,56,1,9.33
BJ Hodge,36,56,0,9.33
AA Jhunjhunwala,30,47,0,9.4
J Theron,65,102,3,9.42
SK Trivedi,126,198,6,9.43
Basil Thampi,102,161,2,9.47
Kamran Khan,84,133,5,9.5
YS Chahal,168,267,9,9.54
A Mithun,66,105,1,9.55
Y Venugopal Rao,42,67,1,9.57
SJ Srivastava,132,211,5,9.59
JDP Oram,108,173,3,9.61
S Narwal,66,106,3,9.64
BCJ Cutting,36,58,0,9.67
DJ Hussey,36,58,0,9.67
JO Holder,96,155,3,9.69
Mohammad Asif,90,147,3,9.8
AB Agarkar,180,295,6,9.83
MR Marsh,72,118,4,9.83
SK Warne,36,59,1,9.83
K Upadhyay,36,59,0,9.83
PJ Cummins,126,209,6,9.95
RE van der Merwe,36,60,3,10.0
DL Chahar,66,110,1,10.0
KA Pollard,36,61,1,10.17
LH Ferguson,30,51,1,10.2
CJ Anderson,71,121,2,10.23
HH Pandya,30,52,0,10.4
KJ Abbott,42,73,0,10.43
VRV Singh,78,136,1,10.46
CJ Jordan,36,64,1,10.67
AF Milne,42,75,0,10.71
BE Hendricks,60,108,1,10.8
P Parameswaran,36,65,2,10.83
Mohammed Siraj,60,110,3,11.0
CR Woakes,72,133,1,11.08
DR Smith,66,123,5,11.18
VY Mahesh,78,149,4,11.46
MP Stoinis,48,92,2,11.5
J Suchith,36,69,1,11.5
AP Dole,30,62,2,12.4
GJ Maxwell,30,72,0,14.4
