season,batsman,total_runs,balls_faced,strike_rate
2019,RR Pant,494,304,162.5
2019,CH Gayle,490,319,153.61
2019,V Kohli,464,328,141.46
2019,JM Bairstow,445,283,157.24
2019,AB de Villiers,442,287,154.01
2019,SA Yadav,424,324,130.86
2019,MS Dhoni,416,309,134.63
2019,HH Pandya,409,212,192.92
2019,CA Lynn,405,290,139.66
2019,AM Rahane,393,285,137.89
2019,PA Patel,373,268,139.18
2019,PP Shaw,353,264,133.71
2020,S Dhawan,618,427,144.73
2020,DA Warner,548,408,134.31
2020,Ishan Kishan,516,354,145.76
2020,Q de Kock,506,361,140.17
2020,SA Yadav,480,331,145.02
2020,AB de Villiers,460,290,158.62
2020,F du Plessis,449,319,140.75
2020,MA Agarwal,432,273,158.24
2020,EJG Morgan,419,304,137.83
2020,SV Samson,375,236,158.9
2020,N Pooran,353,210,168.1
2020,N Rana,352,254,138.58
2020,MP Stoinis,352,237,148.52
2021,RD Gaikwad,635,466,136.27
2021,F du Plessis,633,458,138.21
2021,KL Rahul,626,451,138.8
2021,GJ Maxwell,513,356,144.1
2021,SV Samson,484,354,136.72
2021,PP Shaw,479,301,159.14
2021,MA Agarwal,441,314,140.45
2021,RA Tripathi,397,283,140.28
2021,MM Ali,357,260,137.31
2022,JC Buttler,863,579,149.05
2022,KL Rahul,616,455,135.38
2022,Q de Kock,508,341,148.97
2022,HH Pandya,487,371,131.27
2022,Shubman Gill,483,365,132.33
2022,DA Miller,481,337,142.73
2022,SV Samson,458,312,146.79
2022,DJ Hooda,451,330,136.67
2022,LS Livingstone,437,240,182.08
2022,DA Warner,432,287,150.52
2022,Abhishek Sharma,426,320,133.13
2022,RA Tripathi,413,261,158.24
2022,SS Iyer,401,298,134.56
2022,Tilak Varma,397,303,131.02
2022,AK Markram,381,274,139.05
2022,N Rana,361,251,143.82
2023,Shubman Gill,890,564,157.8
2023,F du Plessis,730,475,153.68
2023,DP Conway,672,481,139.71
2023,V Kohli,639,457,139.82
2023,YBK Jaiswal,625,382,163.61
2023,SA Yadav,605,334,181.14
2023,RD Gaikwad,590,400,147.5
2023,DA Warner,516,392,131.63
2023,RK Singh,474,317,149.53
2023,Ishan Kishan,454,318,142.77
2023,C Green,452,282,160.28
2023,H Klaasen,448,253,177.08
2023,S Dube,418,264,158.33
2023,N Rana,413,293,140.96
2023,MP Stoinis,408,272,150.0
2023,VR Iyer,404,277,145.85
2023,GJ Maxwell,400,218,183.49
2023,JC Buttler,392,282,139.01
2023,KR Mayers,379,263,144.11
2023,S Dhawan,373,261,142.91
2023,B Sai Sudharsan,362,256,141.41
2023,SV Samson,362,236,153.39
2023,P Simran Singh,358,238,150.42
2023,N Pooran,358,207,172.95
2024,V Kohli,741,479,154.7
2024,RD Gaikwad,583,413,141.16
2024,R Parag,573,384,149.22
2024,TM Head,567,296,191.55
2024,SV Samson,531,346,153.47
2024,B Sai Sudharsan,527,373,141.29
2024,KL Rahul,520,382,136.13
2024,N Pooran,499,280,178.21
2024,SP Narine,488,270,180.74
2024,Abhishek Sharma,484,237,204.22
2024,H Klaasen,479,280,171.07
2024,RR Pant,446,287,155.4
2024,F du Plessis,438,271,161.62
2024,PD Salt,435,239,182.01
2024,YBK Jaiswal,435,279,155.91
2024,Shubman Gill,426,289,147.4
2024,RG Sharma,417,278,150.0
2024,Tilak Varma,416,278,149.64
2024,S Dube,396,244,162.3
2024,RM Patidar,395,223,177.13
2024,MP Stoinis,388,263,147.53
2024,T Stubbs,378,198,190.91
2024,VR Iyer,370,233,158.8
2024,JC Buttler,359,255,140.78
2024,Shashank Singh,354,215,164.65
2024,SS Iyer,351,239,146.86
2025,B Sai Sudharsan,417,274,152.19
2025,V Kohli,392,272,144.12
2025,N Pooran,377,184,204.89
2025,SA Yadav,373,224,166.52
2025,JC Buttler,356,215,165.58
2025,YBK Jaiswal,356,239,148.95
