,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
460,IR Jaggi,Deccan Chargers,43,60,0.0,4
461,IR Jaggi,Kolkata Knight Riders,33,40,0.0,1
462,IS Sodhi,Rajasthan Royals,7,18,0.0,2
463,Ishan Kishan,Gujarat Lions,319,255,1.0,14
464,Ishan Kishan,Mumbai Indians,2325,1736,1.0,77
465,Ishan Kishan,Sunrisers Hyderabad,183,127,1.0,7
466,J Arunkumar,Royal Challengers Bangalore,23,24,0.0,3
467,J Botha,Delhi Daredevils,43,52,0.0,6
468,J Botha,Kolkata Knight Riders,31,15,2.0,3
469,J Botha,Rajasthan Royals,335,297,1.0,11
470,J Fraser-McGurk,Delhi Capitals,385,203,1.0,14
471,J Overton,Chennai Super Kings,15,7,2.0,0
472,J Suchith,Delhi Capitals,6,15,0.0,1
473,J Suchith,Mumbai Indians,48,33,1.0,1
474,J Suchith,Sunrisers Hyderabad,16,14,1.0,2
475,J Syed Mohammad,Royal Challengers Bangalore,29,27,1.0,2
476,J Theron,Deccan Chargers,7,6,1.0,0
477,J Theron,Kings XI Punjab,2,6,0.0,2
478,J Theron,Rajasthan Royals,1,1,1.0,0
479,J Yadav,Delhi Daredevils,6,12,0.0,0
480,J Yadav,Mumbai Indians,34,26,1.0,2
481,JA Morkel,Chennai Super Kings,828,592,1.0,33
482,JA Morkel,Delhi Daredevils,86,70,1.0,1
483,JA Morkel,Rising Pune Supergiants,16,9,1.0,1
484,JA Morkel,Royal Challengers Bangalore,45,41,1.0,3
485,JA Richardson,Delhi Capitals,2,2,1.0,1
486,JA Richardson,Punjab Kings,15,25,0.0,2
487,Jaskaran Singh,Deccan Chargers,8,11,0.0,1
488,JC Archer,Mumbai Indians,4,4,1.0,0
489,JC Archer,Rajasthan Royals,216,144,1.0,17
490,JC Buttler,Gujarat Titans,356,218,1.0,5
491,JC Buttler,Mumbai Indians,528,375,1.0,20
492,JC Buttler,Rajasthan Royals,3055,2144,1.0,72
493,JD Ryder,Pune Warriors,548,417,1.0,22
494,JD Ryder,Royal Challengers Bangalore,56,49,1.0,5
495,JD Unadkat,Delhi Daredevils,1,6,0.0,1
496,JD Unadkat,Lucknow Super Giants,9,7,1.0,1
497,JD Unadkat,Mumbai Indians,59,37,1.0,1
498,JD Unadkat,Rajasthan Royals,100,86,1.0,8
499,JD Unadkat,Rising Pune Supergiant,2,5,0.0,0
500,JD Unadkat,Royal Challengers Bangalore,2,2,1.0,0
501,JD Unadkat,Sunrisers Hyderabad,24,27,0.0,2
502,JDP Oram,Chennai Super Kings,106,107,0.0,7
503,JDP Oram,Rajasthan Royals,0,3,0.0,1
504,JDS Neesham,Delhi Daredevils,42,46,0.0,3
505,JDS Neesham,Kings XI Punjab,19,18,1.0,2
506,JDS Neesham,Mumbai Indians,0,2,0.0,2
507,JDS Neesham,Rajasthan Royals,31,27,1.0,1
508,JE Root,Rajasthan Royals,10,15,0.0,1
509,JE Taylor,Pune Warriors,3,4,0.0,0
510,JEC Franklin,Mumbai Indians,327,309,1.0,11
511,JH Kallis,Kolkata Knight Riders,1295,1237,1.0,48
512,JH Kallis,Royal Challengers Bangalore,1132,1054,1.0,35
513,JJ Bumrah,Mumbai Indians,68,81,0.0,6
514,JJ Roy,Delhi Daredevils,120,98,1.0,4
515,JJ Roy,Gujarat Lions,59,41,1.0,2
516,JJ Roy,Kolkata Knight Riders,285,196,1.0,8
517,JJ Roy,Sunrisers Hyderabad,150,125,1.0,5
518,JJ van der Wath,Royal Challengers Bangalore,18,17,1.0,2
519,JL Denly,Kolkata Knight Riders,0,1,0.0,1
520,JL Pattinson,Mumbai Indians,15,13,1.0,1
521,JM Bairstow,Punjab Kings,551,377,1.0,20
522,JM Bairstow,Sunrisers Hyderabad,1038,755,1.0,25
523,JM Kemp,Chennai Super Kings,26,25,1.0,2
524,JM Sharma,Punjab Kings,730,501,1.0,32
525,JM Sharma,Royal Challengers Bengaluru,121,85,1.0,4
526,JO Holder,Kolkata Knight Riders,22,20,1.0,4
527,JO Holder,Lucknow Super Giants,58,46,1.0,6
528,JO Holder,Rajasthan Royals,12,12,1.0,2
529,JO Holder,Sunrisers Hyderabad,167,139,1.0,9
530,Joginder Sharma,Chennai Super Kings,36,30,1.0,4
531,JP Behrendorff,Mumbai Indians,6,9,0.0,0
532,JP Duminy,Deccan Chargers,449,371,1.0,13
533,JP Duminy,Delhi Daredevils,1015,795,1.0,22
534,JP Duminy,Mumbai Indians,565,514,1.0,13
535,JP Faulkner,Gujarat Lions,131,120,1.0,7
536,JP Faulkner,Kings XI Punjab,14,14,1.0,1
537,JP Faulkner,Rajasthan Royals,382,272,1.0,18
538,JP Inglis,Punjab Kings,56,47,1.0,3
539,JPR Scantlebury-Searles,Kolkata Knight Riders,8,6,1.0,1
540,JR Hazlewood,Royal Challengers Bangalore,19,29,0.0,0
541,JR Hazlewood,Royal Challengers Bengaluru,0,1,0.0,0
542,JR Hopes,Delhi Daredevils,196,162,1.0,5
543,JR Hopes,Kings XI Punjab,221,152,1.0,11
544,JR Philippe,Royal Challengers Bangalore,78,80,0.0,4
545,K Goel,Kings XI Punjab,218,239,0.0,13
546,K Gowtham,Kings XI Punjab,42,27,1.0,1
547,K Gowtham,Lucknow Super Giants,61,46,1.0,5
548,K Gowtham,Rajasthan Royals,144,86,1.0,12
549,K Kartikeya,Mumbai Indians,9,13,0.0,2
550,K Kartikeya,Rajasthan Royals,1,1,1.0,0
551,K Rabada,Delhi Capitals,83,73,1.0,6
552,K Rabada,Delhi Daredevils,55,68,0.0,3
553,K Rabada,Gujarat Titans,7,6,1.0,0
554,K Rabada,Punjab Kings,68,66,1.0,6
555,K Upadhyay,Pune Warriors,12,9,1.0,0
556,K Yadav,Rajasthan Royals,0,4,0.0,0
557,KA Jamieson,Royal Challengers Bangalore,65,55,1.0,3
558,KA Maharaj,Rajasthan Royals,1,2,0.0,1
559,KA Pollard,Mumbai Indians,3437,2447,1.0,120
560,KAJ Roach,Deccan Chargers,10,9,1.0,1
561,Kamran Akmal,Rajasthan Royals,128,78,1.0,4
562,Kamran Khan,Rajasthan Royals,3,5,0.0,1
563,Karanveer Singh,Kings XI Punjab,12,17,0.0,1
564,Kartik Tyagi,Rajasthan Royals,6,10,0.0,2
565,Kartik Tyagi,Sunrisers Hyderabad,7,6,1.0,2
566,KB Arun Karthik,Chennai Super Kings,3,5,0.0,0
567,KB Arun Karthik,Royal Challengers Bangalore,48,48,1.0,5
568,KC Cariappa,Kings XI Punjab,15,18,0.0,3
569,KC Cariappa,Kolkata Knight Riders,9,3,3.0,0
570,KC Sangakkara,Deccan Chargers,558,488,1.0,24
571,KC Sangakkara,Kings XI Punjab,1009,799,1.0,32
572,KC Sangakkara,Sunrisers Hyderabad,120,137,0.0,9
573,KD Karthik,Delhi Daredevils,1036,835,1.0,40
574,KD Karthik,Gujarat Lions,696,541,1.0,22
575,KD Karthik,Kings XI Punjab,282,225,1.0,11
576,KD Karthik,Kolkata Knight Riders,1144,838,1.0,39
577,KD Karthik,Mumbai Indians,748,639,1.0,30
578,KD Karthik,Royal Challengers Bangalore,611,414,1.0,25
579,KD Karthik,Royal Challengers Bengaluru,326,195,1.0,8
580,KH Pandya,Lucknow Super Giants,504,434,1.0,23
581,KH Pandya,Mumbai Indians,1143,853,1.0,48
582,KH Pandya,Royal Challengers Bengaluru,24,29,0.0,4
583,KJ Abbott,Kings XI Punjab,13,8,1.0,1
584,KK Ahmed,Chennai Super Kings,1,2,0.0,0
585,KK Ahmed,Delhi Capitals,0,2,0.0,2
586,KK Ahmed,Sunrisers Hyderabad,1,5,0.0,3
587,KK Cooper,Rajasthan Royals,116,70,1.0,9
588,KK Nair,Delhi Capitals,135,75,1.0,3
589,KK Nair,Delhi Daredevils,638,533,1.0,22
590,KK Nair,Kings XI Punjab,322,245,1.0,15
591,KK Nair,Rajasthan Royals,527,402,1.0,22
592,KK Nair,Royal Challengers Bangalore,9,12,0.0,2
593,KL Nagarkoti,Kolkata Knight Riders,22,34,0.0,4
594,KL Rahul,Delhi Capitals,330,218,1.0,5
595,KL Rahul,Kings XI Punjab,1928,1404,1.0,37
596,KL Rahul,Lucknow Super Giants,1410,1117,1.0,33
597,KL Rahul,Punjab Kings,626,465,1.0,9
598,KL Rahul,Royal Challengers Bangalore,417,293,1.0,11
599,KL Rahul,Sunrisers Hyderabad,308,299,1.0,13
600,KM Asif,Rajasthan Royals,0,2,0.0,1
601,KM Jadhav,Chennai Super Kings,248,263,0.0,12
602,KM Jadhav,Delhi Daredevils,566,434,1.0,21
603,KM Jadhav,Kochi Tuskers Kerala,18,23,0.0,3
604,KM Jadhav,Royal Challengers Bangalore,321,237,1.0,11
605,KM Jadhav,Sunrisers Hyderabad,55,55,1.0,4
606,KMA Paul,Delhi Capitals,18,26,0.0,4
607,KMDN Kulasekara,Chennai Super Kings,5,3,1.0,0
608,KP Appanna,Royal Challengers Bangalore,2,4,0.0,1
609,KP Pietersen,Delhi Daredevils,599,449,1.0,15
610,KP Pietersen,Rising Pune Supergiants,73,61,1.0,3
611,KP Pietersen,Royal Challengers Bangalore,329,248,1.0,9
612,KR Mayers,Lucknow Super Giants,379,276,1.0,13
613,KR Sen,Rajasthan Royals,0,3,0.0,0
614,KS Bharat,Delhi Capitals,8,7,1.0,2
615,KS Bharat,Royal Challengers Bangalore,191,161,1.0,5
616,KS Sharma,Lucknow Super Giants,16,25,0.0,3
617,KS Williamson,Gujarat Titans,27,27,1.0,2
618,KS Williamson,Sunrisers Hyderabad,2105,1707,1.0,56
619,Kuldeep Yadav,Delhi Capitals,136,155,0.0,7
620,Kuldeep Yadav,Kolkata Knight Riders,57,76,0.0,4
621,Kumar Kushagra,Delhi Capitals,3,7,0.0,3
622,KV Sharma,Mumbai Indians,49,42,1.0,6
623,KV Sharma,Royal Challengers Bangalore,4,8,0.0,3
624,KV Sharma,Royal Challengers Bengaluru,31,16,1.0,2
625,KV Sharma,Sunrisers Hyderabad,267,240,1.0,13
626,KW Richardson,Pune Warriors,34,36,0.0,2
627,KW Richardson,Rajasthan Royals,1,2,0.0,1
628,KW Richardson,Royal Challengers Bangalore,1,1,1.0,0
629,L Ablish,Kings XI Punjab,0,2,0.0,0
630,L Balaji,Chennai Super Kings,22,35,0.0,5
631,L Balaji,Kings XI Punjab,1,3,0.0,1
632,L Balaji,Kolkata Knight Riders,13,12,1.0,1
633,L Ronchi,Mumbai Indians,34,37,0.0,3
634,L Wood,Mumbai Indians,9,3,3.0,0
635,LA Carseldine,Rajasthan Royals,81,71,1.0,3
636,LA Pomersbach,Kings XI Punjab,251,210,1.0,6
637,LA Pomersbach,Royal Challengers Bangalore,51,41,1.0,4
638,Lalit Yadav,Delhi Capitals,305,301,1.0,15
639,LB Williams,Delhi Capitals,1,2,0.0,0
640,LE Plunkett,Delhi Daredevils,1,3,0.0,1
641,LH Ferguson,Gujarat Titans,5,4,1.0,2
642,LH Ferguson,Kolkata Knight Riders,61,42,1.0,0
643,LH Ferguson,Punjab Kings,4,1,4.0,0
644,LH Ferguson,Rising Pune Supergiant,1,1,1.0,0
645,LH Ferguson,Royal Challengers Bengaluru,1,1,1.0,1
646,Liton Das,Kolkata Knight Riders,4,4,1.0,1
647,LJ Wright,Pune Warriors,106,63,1.0,4
648,LMP Simmons,Mumbai Indians,1079,878,1.0,26
649,LPC Silva,Deccan Chargers,40,27,1.0,2
650,LR Shukla,Delhi Daredevils,31,38,0.0,3
651,LR Shukla,Kolkata Knight Riders,374,320,1.0,24
652,LRPL Taylor,Delhi Daredevils,256,239,1.0,12
653,LRPL Taylor,Pune Warriors,63,77,0.0,4
654,LRPL Taylor,Rajasthan Royals,181,158,1.0,5
655,LRPL Taylor,Royal Challengers Bangalore,517,373,1.0,17
656,LS Livingstone,Punjab Kings,827,518,1.0,24
657,LS Livingstone,Rajasthan Royals,112,91,1.0,8
658,LS Livingstone,Royal Challengers Bengaluru,87,69,1.0,5
659,M Ashwin,Kings XI Punjab,7,9,0.0,2
660,M Ashwin,Mumbai Indians,12,14,0.0,2
661,M Ashwin,Punjab Kings,15,24,0.0,2
662,M Ashwin,Rising Pune Supergiants,0,1,0.0,1
663,M Ashwin,Royal Challengers Bangalore,1,2,0.0,1
664,M de Lange,Mumbai Indians,1,2,0.0,1
665,M Jansen,Mumbai Indians,0,4,0.0,2
666,M Jansen,Punjab Kings,71,61,1.0,3
667,M Jansen,Sunrisers Hyderabad,66,67,0.0,5
668,M Kaif,Kings XI Punjab,28,31,0.0,3
669,M Kaif,Rajasthan Royals,176,176,1.0,9
670,M Kaif,Royal Challengers Bangalore,55,51,1.0,4
671,M Kartik,Kolkata Knight Riders,73,70,1.0,4
672,M Kartik,Pune Warriors,38,36,1.0,1
673,M Kartik,Royal Challengers Bangalore,2,3,0.0,1
674,M Klinger,Kochi Tuskers Kerala,73,78,0.0,4
675,M Manhas,Chennai Super Kings,35,26,1.0,2
676,M Manhas,Delhi Daredevils,232,216,1.0,7
677,M Manhas,Pune Warriors,247,244,1.0,14
678,M Markande,Mumbai Indians,27,30,0.0,3
679,M Markande,Sunrisers Hyderabad,21,14,1.0,0
680,M Morkel,Delhi Daredevils,100,60,1.0,8
681,M Morkel,Kolkata Knight Riders,9,8,1.0,0
682,M Morkel,Rajasthan Royals,17,25,0.0,2
683,M Muralitharan,Chennai Super Kings,9,13,0.0,4
684,M Muralitharan,Kochi Tuskers Kerala,5,8,0.0,0
685,M Muralitharan,Royal Challengers Bangalore,6,9,0.0,2
686,M Ntini,Chennai Super Kings,11,19,0.0,1
687,M Prasidh Krishna,Kolkata Knight Riders,3,12,0.0,1
688,M Prasidh Krishna,Rajasthan Royals,6,12,0.0,1
689,M Rawat,Pune Warriors,5,11,0.0,1
690,M Rawat,Rajasthan Royals,50,59,0.0,4
691,M Shahrukh Khan,Gujarat Titans,200,120,1.0,7
692,M Shahrukh Khan,Punjab Kings,426,336,1.0,20
693,M Theekshana,Chennai Super Kings,7,7,1.0,1
694,M Theekshana,Rajasthan Royals,8,18,0.0,1
695,M Vijay,Chennai Super Kings,1708,1405,1.0,62
696,M Vijay,Delhi Daredevils,207,197,1.0,11
697,M Vijay,Kings XI Punjab,704,606,1.0,20
698,M Vohra,Kings XI Punjab,957,750,1.0,37
699,M Vohra,Lucknow Super Giants,29,23,1.0,2
700,M Vohra,Rajasthan Royals,42,40,1.0,4
701,M Vohra,Royal Challengers Bangalore,55,50,1.0,4
702,MA Agarwal,Delhi Daredevils,355,306,1.0,20
703,MA Agarwal,Kings XI Punjab,884,620,1.0,31
704,MA Agarwal,Punjab Kings,637,491,1.0,23
705,MA Agarwal,Rising Pune Supergiant,26,29,0.0,3
706,MA Agarwal,Royal Challengers Bangalore,433,357,1.0,23
707,MA Agarwal,Sunrisers Hyderabad,334,278,1.0,14
708,MA Khote,Mumbai Indians,24,22,1.0,2
709,MA Starc,Delhi Capitals,5,9,0.0,1
710,MA Starc,Kolkata Knight Riders,9,11,0.0,2
711,MA Starc,Royal Challengers Bangalore,96,98,0.0,6
712,MA Wood,Chennai Super Kings,1,5,0.0,1
713,MA Wood,Lucknow Super Giants,11,5,2.0,1
714,Mandeep Singh,Delhi Capitals,18,24,0.0,3
715,Mandeep Singh,Kings XI Punjab,1058,880,1.0,45
716,Mandeep Singh,Kolkata Knight Riders,18,27,0.0,5
717,Mandeep Singh,Punjab Kings,15,14,1.0,1
718,Mandeep Singh,Royal Challengers Bangalore,597,473,1.0,26
719,Mashrafe Mortaza,Kolkata Knight Riders,2,2,1.0,0
720,Mayank Dagar,Royal Challengers Bengaluru,0,1,0.0,0
721,MC Henriques,Delhi Daredevils,11,5,2.0,1
722,MC Henriques,Kolkata Knight Riders,38,40,0.0,2
723,MC Henriques,Punjab Kings,31,32,0.0,2
724,MC Henriques,Royal Challengers Bangalore,165,127,1.0,4
725,MC Henriques,Sunrisers Hyderabad,755,597,1.0,27
726,MC Juneja,Delhi Daredevils,125,134,0.0,7
727,MD Mishra,Deccan Chargers,166,149,1.0,10
728,MD Mishra,Pune Warriors,71,64,1.0,5
729,MD Shanaka,Gujarat Titans,26,26,1.0,2
730,MDKJ Perera,Rajasthan Royals,14,13,1.0,2
731,MEK Hussey,Chennai Super Kings,1768,1461,1.0,41
732,MEK Hussey,Mumbai Indians,209,187,1.0,8
733,MF Maharoof,Delhi Daredevils,177,124,1.0,10
734,MG Bracewell,Royal Challengers Bangalore,58,49,1.0,2
735,MG Johnson,Kings XI Punjab,92,103,0.0,9
736,MG Johnson,Kolkata Knight Riders,16,11,1.0,0
737,MG Johnson,Mumbai Indians,59,54,1.0,4
738,Misbah-ul-Haq,Royal Challengers Bangalore,117,82,1.0,7
739,MJ Clarke,Pune Warriors,98,96,1.0,6
740,MJ Guptill,Kings XI Punjab,132,88,1.0,6
741,MJ Guptill,Mumbai Indians,57,55,1.0,3
742,MJ Guptill,Sunrisers Hyderabad,82,54,1.0,3
743,MJ Lumb,Deccan Chargers,0,2,0.0,1
744,MJ Lumb,Rajasthan Royals,278,196,1.0,9
745,MJ McClenaghan,Mumbai Indians,85,73,1.0,11
746,MJ Santner,Chennai Super Kings,70,77,0.0,6
747,MJ Santner,Mumbai Indians,39,30,1.0,2
748,MJ Suthar,Gujarat Titans,1,2,0.0,1
749,MK Lomror,Rajasthan Royals,181,154,1.0,8
750,MK Lomror,Royal Challengers Bangalore,221,161,1.0,13
751,MK Lomror,Royal Challengers Bengaluru,125,74,1.0,8
752,MK Pandey,Delhi Capitals,160,149,1.0,9
753,MK Pandey,Kolkata Knight Riders,1339,1098,1.0,41
754,MK Pandey,Lucknow Super Giants,88,84,1.0,6
755,MK Pandey,Mumbai Indians,3,10,0.0,2
756,MK Pandey,Pune Warriors,525,487,1.0,22
757,MK Pandey,Royal Challengers Bangalore,417,353,1.0,13
758,MK Pandey,Sunrisers Hyderabad,1346,1121,1.0,39
759,MK Tiwary,Delhi Daredevils,322,281,1.0,11
760,MK Tiwary,Kings XI Punjab,47,45,1.0,3
761,MK Tiwary,Kolkata Knight Riders,1002,921,1.0,34
762,MK Tiwary,Rising Pune Supergiant,324,242,1.0,9
763,ML Hayden,Chennai Super Kings,1107,839,1.0,28
764,MM Ali,Chennai Super Kings,853,650,1.0,36
765,MM Ali,Kolkata Knight Riders,5,16,0.0,2
766,MM Ali,Royal Challengers Bangalore,309,199,1.0,13
767,MM Patel,Gujarat Lions,0,1,0.0,1
768,MM Patel,Mumbai Indians,2,8,0.0,1
769,MM Patel,Rajasthan Royals,37,32,1.0,3
770,MM Sharma,Chennai Super Kings,29,28,1.0,3
771,MM Sharma,Delhi Capitals,1,3,0.0,1
772,MM Sharma,Gujarat Titans,2,17,0.0,2
773,MM Sharma,Kings XI Punjab,93,92,1.0,11
774,MN Samuels,Delhi Daredevils,29,32,0.0,3
775,MN Samuels,Pune Warriors,132,142,0.0,8
776,MN van Wyk,Kolkata Knight Riders,167,135,1.0,3
777,Mohammad Ashraful,Mumbai Indians,2,12,0.0,1
778,Mohammad Asif,Delhi Daredevils,3,6,0.0,2
779,Mohammad Hafeez,Kolkata Knight Riders,64,84,0.0,7
780,Mohammad Nabi,Mumbai Indians,35,31,1.0,4
781,Mohammad Nabi,Sunrisers Hyderabad,186,126,1.0,12
782,Mohammed Shami,Delhi Daredevils,48,42,1.0,7
783,Mohammed Shami,Gujarat Titans,5,8,0.0,2
784,Mohammed Shami,Kings XI Punjab,3,5,0.0,2
785,Mohammed Shami,Kolkata Knight Riders,5,10,0.0,1
786,Mohammed Shami,Punjab Kings,13,17,0.0,1
787,Mohammed Shami,Sunrisers Hyderabad,10,11,0.0,1
788,Mohammed Siraj,Royal Challengers Bangalore,97,113,0.0,8
789,Mohammed Siraj,Royal Challengers Bengaluru,12,9,1.0,1
790,Mohit Rathee,Punjab Kings,1,2,0.0,0
791,Mohsin Khan,Lucknow Super Giants,25,27,0.0,2
792,MP Stoinis,Delhi Capitals,441,324,1.0,18
793,MP Stoinis,Kings XI Punjab,262,214,1.0,11
794,MP Stoinis,Lucknow Super Giants,952,669,1.0,32
795,MP Stoinis,Punjab Kings,67,45,1.0,4
796,MP Stoinis,Royal Challengers Bangalore,211,159,1.0,4
797,MR Marsh,Deccan Chargers,28,31,0.0,2
798,MR Marsh,Delhi Capitals,440,330,1.0,19
799,MR Marsh,Lucknow Super Giants,344,226,1.0,8
800,MR Marsh,Pune Warriors,190,159,1.0,8
801,MR Marsh,Rising Pune Supergiants,7,11,0.0,1
802,MR Marsh,Sunrisers Hyderabad,0,1,0.0,1
803,MS Bhandage,Royal Challengers Bengaluru,1,4,0.0,1
804,MS Bisla,Kings XI Punjab,218,189,1.0,9
805,MS Bisla,Kolkata Knight Riders,543,518,1.0,25
806,MS Bisla,Royal Challengers Bangalore,37,30,1.0,2
807,MS Dhoni,Chennai Super Kings,4809,3570,1.0,118
808,MS Dhoni,Rising Pune Supergiant,290,261,1.0,11
809,MS Dhoni,Rising Pune Supergiants,284,220,1.0,7
810,MS Gony,Chennai Super Kings,50,39,1.0,4
811,MS Gony,Deccan Chargers,4,10,0.0,2
812,MS Gony,Kings XI Punjab,45,27,1.0,3
813,MS Wade,Delhi Daredevils,22,33,0.0,3
814,MS Wade,Gujarat Titans,161,152,1.0,10
815,Mujeeb Ur Rahman,Kings XI Punjab,11,14,0.0,3
816,Mujeeb Ur Rahman,Sunrisers Hyderabad,1,1,1.0,0
817,Mukesh Choudhary,Chennai Super Kings,6,6,1.0,0
818,Mukesh Kumar,Delhi Capitals,10,20,0.0,1
819,Mustafizur Rahman,Delhi Capitals,4,6,0.0,0
820,Mustafizur Rahman,Mumbai Indians,1,3,0.0,1
821,Mustafizur Rahman,Rajasthan Royals,8,14,0.0,0
822,MV Boucher,Kolkata Knight Riders,6,6,1.0,1
823,MV Boucher,Royal Challengers Bangalore,388,312,1.0,13
824,MW Short,Punjab Kings,117,99,1.0,6
825,N Jagadeesan,Chennai Super Kings,73,71,1.0,3
826,N Jagadeesan,Kolkata Knight Riders,89,84,1.0,6
827,N Pooran,Kings XI Punjab,521,325,1.0,18
828,N Pooran,Lucknow Super Giants,1234,708,1.0,27
829,N Pooran,Punjab Kings,85,77,1.0,10
830,N Pooran,Sunrisers Hyderabad,306,228,1.0,8
831,N Rana,Kolkata Knight Riders,2199,1660,1.0,78
832,N Rana,Mumbai Indians,437,355,1.0,14
833,N Rana,Rajasthan Royals,204,125,1.0,8
834,N Saini,Kings XI Punjab,140,143,0.0,10
835,N Wadhera,Mumbai Indians,350,261,1.0,15
836,N Wadhera,Punjab Kings,189,132,1.0,4
837,NA Saini,Royal Challengers Bangalore,31,36,0.0,3
838,Naman Dhir,Mumbai Indians,270,158,1.0,10
839,Navdeep Saini,Rajasthan Royals,2,2,1.0,1
840,Naveen-ul-Haq,Lucknow Super Giants,18,26,0.0,1
841,ND Doshi,Rajasthan Royals,0,13,0.0,1
842,Niraj Patel,Rajasthan Royals,121,124,0.0,4
843,Nithish Kumar Reddy,Sunrisers Hyderabad,455,362,1.0,16
844,NJ Maddinson,Royal Challengers Bangalore,20,21,0.0,3
845,NJ Rimmington,Kings XI Punjab,1,1,1.0,0
846,NL McCullum,Pune Warriors,26,23,1.0,1
847,NLTC Perera,Kings XI Punjab,12,15,0.0,2
848,NLTC Perera,Kochi Tuskers Kerala,23,29,0.0,2
849,NLTC Perera,Mumbai Indians,4,12,0.0,1
850,NLTC Perera,Rising Pune Supergiants,150,97,1.0,7
851,NLTC Perera,Sunrisers Hyderabad,235,173,1.0,10
852,NM Coulter-Nile,Delhi Daredevils,29,34,0.0,3
853,NM Coulter-Nile,Kolkata Knight Riders,14,13,1.0,3
854,NM Coulter-Nile,Mumbai Indians,38,26,1.0,4
855,NM Coulter-Nile,Rajasthan Royals,1,2,0.0,0
856,Noor Ahmad,Chennai Super Kings,3,13,0.0,2
857,Noor Ahmad,Gujarat Titans,13,18,0.0,4
858,NS Naik,Kings XI Punjab,23,33,0.0,2
859,NS Naik,Kolkata Knight Riders,8,20,0.0,2
860,NT Ellis,Punjab Kings,19,26,0.0,4
861,NV Ojha,Delhi Daredevils,425,413,1.0,26
862,NV Ojha,Rajasthan Royals,545,439,1.0,18
863,NV Ojha,Sunrisers Hyderabad,584,508,1.0,28
864,OA Shah,Kochi Tuskers Kerala,26,16,1.0,1
865,OA Shah,Kolkata Knight Riders,115,96,1.0,2
866,OA Shah,Rajasthan Royals,365,293,1.0,9
867,OC McCoy,Rajasthan Royals,8,5,1.0,0
868,OF Smith,Punjab Kings,51,50,1.0,3
869,P Awana,Kings XI Punjab,5,14,0.0,2
870,P Chopra,Rajasthan Royals,8,6,1.0,1
871,P Dogra,Kings XI Punjab,15,25,0.0,2
872,P Dogra,Kolkata Knight Riders,5,8,0.0,1
873,P Dogra,Rajasthan Royals,107,108,0.0,5
874,P Dubey,Delhi Capitals,23,33,0.0,1
875,P Kumar,Gujarat Lions,32,36,0.0,5
876,P Kumar,Kings XI Punjab,109,106,1.0,10
877,P Kumar,Mumbai Indians,1,2,0.0,1
878,P Kumar,Royal Challengers Bangalore,181,154,1.0,16
879,P Kumar,Sunrisers Hyderabad,17,25,0.0,2
880,P Negi,Chennai Super Kings,116,77,1.0,6
881,P Negi,Delhi Daredevils,93,93,1.0,3
882,P Negi,Royal Challengers Bangalore,156,131,1.0,13
883,P Parameswaran,Kochi Tuskers Kerala,1,1,1.0,0
884,P Parameswaran,Royal Challengers Bangalore,0,2,0.0,0
885,P Ray Barman,Royal Challengers Bangalore,19,25,0.0,1
886,P Sahu,Kings XI Punjab,19,13,1.0,0
887,P Simran Singh,Kings XI Punjab,31,33,0.0,3
888,P Simran Singh,Punjab Kings,1017,674,1.0,39
889,PA Patel,Chennai Super Kings,516,529,0.0,23
890,PA Patel,Deccan Chargers,194,166,1.0,11
891,PA Patel,Kochi Tuskers Kerala,202,189,1.0,9
892,PA Patel,Mumbai Indians,911,724,1.0,38
893,PA Patel,Royal Challengers Bangalore,731,573,1.0,28
894,PA Patel,Sunrisers Hyderabad,294,261,1.0,12
895,PA Reddy,Deccan Chargers,73,63,1.0,3
896,PA Reddy,Sunrisers Hyderabad,91,104,0.0,7
897,Pankaj Singh,Rajasthan Royals,5,8,0.0,0
898,Pankaj Singh,Royal Challengers Bangalore,2,4,0.0,2
899,Parvez Rasool,Pune Warriors,5,9,0.0,1
900,Parvez Rasool,Royal Challengers Bangalore,10,9,1.0,1
901,Parvez Rasool,Sunrisers Hyderabad,2,2,1.0,0
902,PBB Rajapaksa,Punjab Kings,277,201,1.0,12
903,PC Valthaty,Kings XI Punjab,499,420,1.0,20
904,PC Valthaty,Rajasthan Royals,6,12,0.0,2
905,PD Collingwood,Delhi Daredevils,203,159,1.0,4
906,PD Salt,Delhi Capitals,218,135,1.0,8
907,PD Salt,Kolkata Knight Riders,435,250,1.0,11
908,PD Salt,Royal Challengers Bengaluru,239,148,1.0,9
909,PHKD Mendis,Sunrisers Hyderabad,60,50,1.0,2
910,PJ Cummins,Delhi Daredevils,77,54,1.0,5
911,PJ Cummins,Kolkata Knight Riders,302,206,1.0,15
912,PJ Cummins,Sunrisers Hyderabad,201,141,1.0,9
913,PJ Sangwan,Delhi Daredevils,18,30,0.0,3
914,PJ Sangwan,Gujarat Lions,2,4,0.0,2
915,PJ Sangwan,Gujarat Titans,2,6,0.0,1
916,PJ Sangwan,Kolkata Knight Riders,4,2,2.0,0
917,PJ Sangwan,Mumbai Indians,0,5,0.0,1
918,PK Garg,Delhi Capitals,22,23,0.0,2
919,PK Garg,Sunrisers Hyderabad,251,224,1.0,16
920,PM Sarvesh Kumar,Deccan Chargers,1,2,0.0,0
921,PN Mankad,Lucknow Super Giants,93,74,1.0,3
922,PN Mankad,Punjab Kings,4,1,4.0,0
