,batsman,playing_team,total_runs,total_balls_faced,strike_rate,dismissals
107,AL Menaria,Rajasthan Royals,401,367,1.0,21
108,AM Nayar,Kings XI Punjab,106,116,0.0,8
109,AM Nayar,Mumbai Indians,457,348,1.0,19
110,AM Nayar,Pune Warriors,66,74,0.0,6
111,AM Nayar,Rajasthan Royals,43,50,0.0,3
112,AM Rahane,Chennai Super Kings,568,393,1.0,22
113,AM Rahane,Delhi Capitals,121,122,0.0,9
114,AM Rahane,Kolkata Knight Riders,404,324,1.0,14
115,AM Rahane,Mumbai Indians,148,147,1.0,8
116,AM Rahane,Rajasthan Royals,2810,2350,1.0,78
117,AM Rahane,Rising Pune Supergiant,382,328,1.0,15
118,AM Rahane,Rising Pune Supergiants,480,387,1.0,10
119,Aman Hakim Khan,Delhi Capitals,110,106,1.0,8
120,Aman Hakim Khan,Kolkata Knight Riders,5,3,1.0,1
121,AN Ahmed,Mumbai Indians,22,21,1.0,0
122,AN Ahmed,Royal Challengers Bangalore,14,6,2.0,1
123,AN Ghosh,Kolkata Knight Riders,7,8,0.0,2
124,Aniket Verma,Sunrisers Hyderabad,190,124,1.0,7
125,Anirudh Singh,Deccan Chargers,63,69,0.0,4
126,Ankit Sharma,Deccan Chargers,18,13,1.0,3
127,Ankit Sharma,Rajasthan Royals,41,37,1.0,3
128,Ankit Sharma,Rising Pune Supergiant,25,16,1.0,1
129,Ankit Sharma,Rising Pune Supergiants,3,3,1.0,0
130,Ankit Soni,Gujarat Lions,7,9,0.0,2
131,Anmolpreet Singh,Mumbai Indians,29,27,1.0,3
132,Anmolpreet Singh,Sunrisers Hyderabad,110,90,1.0,6
133,Anuj Rawat,Rajasthan Royals,0,1,0.0,1
134,Anuj Rawat,Royal Challengers Bangalore,220,195,1.0,10
135,Anuj Rawat,Royal Challengers Bengaluru,98,80,1.0,3
136,Anureet Singh,Kings XI Punjab,33,43,0.0,4
137,Anureet Singh,Rajasthan Royals,3,4,0.0,0
138,AP Dole,Rajasthan Royals,34,23,1.0,2
139,AP Majumdar,Pune Warriors,87,77,1.0,4
140,AP Tare,Delhi Daredevils,18,25,0.0,3
141,AP Tare,Mumbai Indians,313,245,1.0,19
142,AP Tare,Sunrisers Hyderabad,8,15,0.0,2
143,AR Bawne,Delhi Daredevils,12,12,1.0,0
144,AR Patel,Delhi Capitals,1141,863,1.0,46
145,AR Patel,Kings XI Punjab,686,565,1.0,34
146,Arjun Tendulkar,Mumbai Indians,13,9,1.0,1
147,Arshad Khan,Gujarat Titans,1,1,1.0,0
148,Arshad Khan,Lucknow Super Giants,78,52,1.0,1
149,Arshad Khan,Mumbai Indians,18,15,1.0,2
150,Arshad Khan (2),Lucknow Super Giants,5,4,1.0,1
151,Arshdeep Singh,Kings XI Punjab,0,3,0.0,1
152,Arshdeep Singh,Punjab Kings,31,45,0.0,5
153,AS Joseph,Gujarat Titans,12,19,0.0,1
154,AS Joseph,Mumbai Indians,15,13,1.0,0
