batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
AN Ghosh,7,3.5,87.5,7,91.0,2025-04-27
M Rawat,55,11.0,79.71014492753623,23,90.71014492753623,2025-04-27
S Chanderpaul,25,8.333333333333334,80.64516129032258,16,88.9784946236559,2025-04-27
KC Cariappa,15,5.0,83.33333333333334,12,88.33333333333334,2025-04-27
J Theron,10,5.0,83.33333333333334,7,88.33333333333334,2025-04-27
Harpreet Singh,20,10.0,76.92307692307693,13,86.92307692307693,2025-04-27
D du Preez,10,10.0,76.92307692307693,10,86.92307692307693,2025-04-27
DJ Thornely,39,13.0,73.58490566037736,30,86.58490566037736,2025-04-27
Mohammad Hafeez,64,9.142857142857142,77.10843373493977,16,86.2512908777969,2025-04-27
A Kumble,35,11.666666666666666,74.46808510638297,8,86.13475177304964,2025-04-27
NS Naik,23,11.5,74.19354838709677,22,85.69354838709677,2025-04-27
I Sharma,45,7.5,77.58620689655173,9,85.08620689655173,2025-04-27
Anureet Singh,33,8.25,76.74418604651163,15,84.99418604651163,2025-04-27
FH Edwards,4,4.0,80.0,3,84.0,2025-04-27
Washington Sundar,9,9.0,75.0,5,84.0,2025-04-27
GD McGrath,4,4.0,80.0,4,84.0,2025-04-27
WA Mota,56,9.333333333333334,74.66666666666667,25,84.0,2025-04-27
A Chopra,53,8.833333333333334,74.64788732394366,24,83.48122065727699,2025-04-27
Yashpal Singh,47,11.75,71.21212121212122,20,82.96212121212122,2025-04-27
Karanveer Singh,12,12.0,70.58823529411765,5,82.58823529411765,2025-04-27
AG Murtaza,10,10.0,71.42857142857143,5,81.42857142857143,2025-04-27
Ankit Soni,7,3.5,77.77777777777779,7,81.27777777777779,2025-04-27
RT Ponting,91,10.11111111111111,71.09375,28,81.20486111111111,2025-04-27
Jaskaran Singh,8,8.0,72.72727272727273,4,80.72727272727273,2025-04-27
TM Srivastava,8,8.0,72.72727272727273,7,80.72727272727273,2025-04-27
SN Thakur,7,2.333333333333333,77.77777777777779,7,80.11111111111111,2025-04-27
Vishnu Vinod,19,6.333333333333333,73.07692307692307,9,79.4102564102564,2025-04-27
S Kaul,9,9.0,69.23076923076923,7,78.23076923076923,2025-04-27
S Tyagi,3,3.0,75.0,3,78.0,2025-04-27
L Balaji,36,4.5,73.46938775510205,15,77.96938775510205,2025-04-27
SK Trivedi,42,6.0,71.1864406779661,9,77.1864406779661,2025-04-27
Imran Tahir,18,4.5,72.0,5,76.5,2025-04-27
AD Nath,20,5.0,71.42857142857143,12,76.42857142857143,2025-04-27
TS Mills,8,2.6666666666666665,72.72727272727273,6,75.3939393939394,2025-04-27
CK Kapugedera,16,5.333333333333333,69.56521739130434,8,74.89855072463767,2025-04-27
T Henderson,11,5.5,68.75,11,74.25,2025-04-27
MS Wade,22,7.333333333333333,66.66666666666666,11,73.99999999999999,2025-04-27
SM Harwood,9,9.0,64.28571428571429,6,73.28571428571429,2025-04-27
T Thushara,12,6.0,66.66666666666666,8,72.66666666666666,2025-04-27
PJ Sangwan,24,4.0,68.57142857142857,6,72.57142857142857,2025-04-27
M Ntini,11,11.0,61.11111111111112,11,72.11111111111111,2025-04-27
A Nehra,41,5.857142857142857,66.12903225806451,22,71.98617511520737,2025-04-27
RP Singh,52,3.466666666666667,68.42105263157895,10,71.88771929824561,2025-04-27
S Sreesanth,34,8.5,61.81818181818181,15,70.31818181818181,2025-04-27
M Muralitharan,20,3.333333333333333,66.66666666666666,6,69.99999999999999,2025-04-27
X Thalaivan Sargunam,10,10.0,58.82352941176471,10,68.82352941176471,2025-04-27
SMSM Senanayake,10,10.0,58.82352941176471,7,68.82352941176471,2025-04-27
Mohammad Nabi,2,2.0,66.66666666666666,2,68.66666666666666,2025-04-27
SB Wagh,2,1.0,66.66666666666666,2,67.66666666666666,2025-04-27
TA Boult,5,5.0,62.5,5,67.5,2025-04-27
A Zampa,5,2.5,62.5,5,65.0,2025-04-27
Swapnil Singh,12,4.0,60.0,10,64.0,2025-04-27
VY Mahesh,15,7.5,55.55555555555556,6,63.05555555555556,2025-04-27
Kamran Khan,3,3.0,60.0,3,63.0,2025-04-27
J Yadav,6,3.0,60.0,5,63.0,2025-04-27
Pankaj Singh,7,3.5,58.333333333333336,4,61.833333333333336,2025-04-27
AF Milne,7,3.5,58.333333333333336,5,61.833333333333336,2025-04-27
T Kohli,11,3.6666666666666665,57.89473684210527,7,61.56140350877193,2025-04-27
CJ Jordan,3,1.5,60.0,3,61.5,2025-04-27
CJ McKay,8,8.0,53.333333333333336,8,61.333333333333336,2025-04-27
A Uniyal,4,4.0,57.14285714285714,4,61.14285714285714,2025-04-27
A Chandila,4,4.0,57.14285714285714,4,61.14285714285714,2025-04-27
S Badree,13,2.6,56.52173913043478,8,59.12173913043478,2025-04-27
S Gopal,14,7.0,51.85185185185185,11,58.85185185185185,2025-04-27
YS Chahal,15,5.0,53.57142857142857,4,58.57142857142857,2025-04-27
UA Birla,7,7.0,50.0,7,57.0,2025-04-27
AB Dinda,26,2.6,54.16666666666666,7,56.76666666666666,2025-04-27
PSP Handscomb,6,6.0,50.0,6,56.0,2025-04-27
PV Tambe,18,9.0,46.15384615384615,7,55.15384615384615,2025-04-27
R Ninan,3,3.0,50.0,3,53.0,2025-04-27
AS Rajpoot,6,6.0,46.15384615384615,4,52.15384615384615,2025-04-27
KP Appanna,2,2.0,50.0,1,52.0,2025-04-27
S Randiv,2,2.0,50.0,2,52.0,2025-04-27
BAW Mendis,3,1.5,50.0,2,51.5,2025-04-27
Mohammad Asif,3,1.5,50.0,3,51.5,2025-04-27
M de Lange,1,1.0,50.0,1,51.0,2025-04-27
PM Sarvesh Kumar,1,1.0,50.0,1,51.0,2025-04-27
SE Bond,1,1.0,50.0,1,51.0,2025-04-27
P Parameswaran,1,1.0,50.0,1,51.0,2025-04-27
B Laughlin,4,4.0,44.44444444444444,4,48.44444444444444,2025-04-27
SB Joshi,6,3.0,42.85714285714285,3,45.85714285714285,2025-04-27
Younis Khan,3,3.0,42.85714285714285,3,45.85714285714285,2025-04-27
JD Unadkat,5,5.0,38.46153846153847,2,43.46153846153847,2025-04-27
TD Paine,10,5.0,38.46153846153847,8,43.46153846153847,2025-04-27
H Das,2,2.0,40.0,2,42.0,2025-04-27
D Kalyankrishna,3,3.0,37.5,3,40.5,2025-04-27
S Nadeem,26,2.1666666666666665,37.142857142857146,6,39.30952380952381,2025-04-27
P Awana,5,2.5,35.714285714285715,4,38.214285714285715,2025-04-27
PP Ojha,16,1.3333333333333333,35.55555555555556,3,36.88888888888889,2025-04-27
DP Nannes,4,4.0,30.76923076923077,3,34.769230769230774,2025-04-27
BE Hendricks,1,1.0,33.33333333333333,1,34.33333333333333,2025-04-27
DJ Muthuswami,1,1.0,33.33333333333333,1,34.33333333333333,2025-04-27
Shoaib Akhtar,2,2.0,28.57142857142857,2,30.57142857142857,2025-04-27
RS Gavaskar,2,2.0,25.0,2,27.0,2025-04-27
Mohammad Ashraful,2,2.0,20.0,2,22.0,2025-04-27
A Singh,2,0.5,20.0,1,20.5,2025-04-27
Shoaib Ahmed,1,0.5,16.666666666666664,1,17.166666666666664,2025-04-27
RR Bhatkal,0,0.0,0.0,0,0.0,2025-04-27
ND Doshi,0,0.0,0.0,0,0.0,2025-04-27
S Kaushik,0,0.0,0.0,0,0.0,2025-04-27
L Ablish,0,0.0,0.0,0,0.0,2025-04-27
S Ladda,0,0.0,0.0,0,0.0,2025-04-27
C Nanda,0,0.0,0.0,0,0.0,2025-04-27
YA Abdulla,0,0.0,0.0,0,0.0,2025-04-27
V Pratap Singh,0,0.0,0.0,0,0.0,2025-04-27
U Kaul,0,0.0,0.0,0,0.0,2025-04-27
M Ashwin,0,0.0,0.0,0,0.0,2025-04-27
Abdur Razzak,0,0.0,0.0,0,0.0,2025-04-27
IC Pandey,0,0.0,0.0,0,0.0,2025-04-27
Sunny Gupta,0,0.0,0.0,0,0.0,2025-04-27
