batsman,batsman_runs,average,strike_rate,best_score,basra,report_date
SP Narine,271,13.55,147.2826086956522,54,160.8326086956522,2025-04-27
N Rana,437,31.214285714285715,128.90855457227138,70,160.1228402865571,2025-04-27
BB McCullum,2755,28.112244897959183,131.06565176022835,158,159.17789665818754,2025-04-27
BJ Hodge,1400,33.333333333333336,125.22361359570662,73,158.55694692903995,2025-04-27
KM Jadhav,893,23.5,134.89425981873111,69,158.39425981873111,2025-04-27
Harbhajan Singh,799,15.666666666666666,142.42424242424244,64,158.0909090909091,2025-04-27
F du Plessis,1295,30.11627906976744,127.96442687747036,73,158.0807059472378,2025-04-27
CJ Anderson,521,27.42105263157895,129.92518703241896,95,157.34623966399792,2025-04-27
AJ Finch,1604,27.1864406779661,130.08921330089214,88,157.27565397885823,2025-04-27
M Vohra,957,24.53846153846154,132.7323162274619,95,157.27077776592344,2025-04-27
SW Billings,226,22.6,134.52380952380955,55,157.12380952380954,2025-04-27
Yuvraj Singh,2591,25.65346534653465,131.25633232016213,83,156.9097976666968,2025-04-27
MC Henriques,969,28.5,128.1746031746032,74,156.6746031746032,2025-04-27
NLTC Perera,424,19.272727272727277,137.2168284789644,40,156.48955575169168,2025-04-27
SS Iyer,807,27.82758620689655,128.50318471337582,96,156.33077092027236,2025-04-27
WP Saha,1557,25.524590163934427,130.73047858942067,115,156.2550687533551,2025-04-27
G Gambhir,4132,31.541984732824428,124.60796139927623,93,156.14994613210067,2025-04-27
KL Rahul,725,30.20833333333333,125.64991334488737,68,155.8582466782207,2025-04-27
MV Boucher,394,28.142857142857142,127.50809061488673,50,155.65094775774386,2025-04-27
JP Faulkner,527,20.26923076923077,135.12820512820514,46,155.3974358974359,2025-04-27
CL White,971,26.97222222222222,127.76315789473684,78,154.73538011695905,2025-04-27
S Dhawan,3561,32.669724770642205,121.86858316221767,95,154.53830793285988,2025-04-27
Harmeet Singh,18,4.5,150.0,14,154.5,2025-04-27
AM Rahane,3057,33.59340659340659,120.59171597633136,103,154.18512256973796,2025-04-27
D Salunkhe,33,16.5,137.5,26,154.0,2025-04-27
SM Katich,241,24.1,129.56989247311827,75,153.66989247311827,2025-04-27
SR Tendulkar,2334,33.82608695652174,119.81519507186856,100,153.6412820283903,2025-04-27
DJ Hooda,373,14.346153846153848,139.17910447761196,54,153.5252583237658,2025-04-27
JD Ryder,604,21.571428571428573,131.87772925764193,86,153.44915782907051,2025-04-27
AT Rayudu,2416,27.146067415730336,126.16187989556136,81,153.30794731129168,2025-04-27
MJ Guptill,189,21.0,132.16783216783216,50,153.16783216783216,2025-04-27
RD Chahar,3,3.0,150.0,3,153.0,2025-04-27
PJ Cummins,77,12.833333333333334,140.0,24,152.83333333333334,2025-04-27
Sachin Baby,137,17.125,135.64356435643566,33,152.76856435643566,2025-04-27
C de Grandhomme,126,15.75,136.95652173913044,36,152.70652173913044,2025-04-27
KK Nair,1158,25.17391304347826,126.9736842105263,83,152.14759725400455,2025-04-27
DPMD Jayawardene,1808,28.25,123.49726775956285,110,151.74726775956285,2025-04-27
M Morkel,126,11.454545454545457,140.0,23,151.45454545454547,2025-04-27
SA Yadav,608,20.96551724137931,130.47210300429185,60,151.43762024567116,2025-04-27
S Vidyut,145,18.125,133.0275229357798,54,151.1525229357798,2025-04-27
MJ McClenaghan,63,7.875,143.1818181818182,20,151.0568181818182,2025-04-27
Shakib Al Hasan,500,20.83333333333333,130.20833333333331,66,151.04166666666663,2025-04-27
B Akhil,76,12.666666666666666,138.1818181818182,27,150.84848484848484,2025-04-27
SM Pollock,147,18.375,132.43243243243242,33,150.80743243243242,2025-04-27
KD Karthik,2903,24.811965811965813,125.94360086767897,86,150.75556667964477,2025-04-27
AC Blizzard,120,17.142857142857142,133.33333333333331,51,150.47619047619045,2025-04-27
Ishan Kishan,319,21.266666666666666,129.1497975708502,61,150.4164642375169,2025-04-27
