bowler,top_order_wickets_in_death
SL Malinga,15
DJ Bravo,14
Mohammed Shami,11
JJ Bumrah,10
Sandeep Sharma,10
B Kumar,9
YS Chahal,8
CH Morris,7
SR Watson,7
SP Narine,7
SN Thakur,7
P Kumar,7
Arshdeep Singh,7
Z Khan,7
M Pathirana,6
PP Chawla,6
UT Yadav,6
SM Curran,6
K Rabada,6
Avesh Khan,6
MM Sharma,6
RA Jadeja,5
JD Unadkat,5
TA Boult,5
T Natarajan,5
Rashid Khan,5
Basil Thampi,5
M Morkel,5
L Balaji,5
JP Faulkner,5
JH Kallis,4
Shivam Mavi,4
HH Pandya,4
WD Parnell,4
L Ngidi,4
JC Archer,4
KK Ahmed,4
MP Stoinis,4
R Vinay Kumar,4
MG Johnson,4
Mustafizur Rahman,3
A Nehra,3
Akash Madhwal,3
AS Rajpoot,3
CJ Jordan,3
IK Pathan,3
JA Morkel,3
KK Cooper,3
Kuldeep Yadav,3
NLTC Perera,3
P Awana,3
PJ Cummins,3
RJ Harris,3
RP Singh,3
S Aravind,3
S Kaul,3
TU Deshpande,3
SK Warne,2
Anureet Singh,2
AD Russell,2
A Nortje,2
YA Abdulla,2
BW Hilfenhaus,2
RP Meredith,2
Yash Dayal,2
PP Ojha,2
T Thushara,2
A Zampa,2
TG Southee,2
VRV Singh,2
A Mithun,2
BA Stokes,2
MJ McClenaghan,2
R Bhatia,2
DT Christian,2
DW Steyn,2
BE Hendricks,2
SC Kuggeleijn,2
Mukesh Kumar,2
B Lee,2
HV Patel,2
CR Woakes,2
AS Joseph,2
SK Trivedi,2
M Kartik,1
CJ Anderson,1
M Muralitharan,1
M Ntini,1
C Sakariya,1
M Prasidh Krishna,1
MC Henriques,1
MJ Santner,1
MM Ali,1
MM Patel,1
MN Samuels,1
Mohammad Asif,1
Mohammad Nabi,1
BB Sran,1
Mohammed Siraj,1
Mohsin Khan,1
MR Marsh,1
Mujeeb Ur Rahman,1
A Kumble,1
NA Saini,1
Noor Ahmad,1
NT Ellis,1
OC McCoy,1
Washington Sundar,1
P Parameswaran,1
B Laughlin,1
PV Tambe,1
PWH de Silva,1
R Ashwin,1
R McLaren,1
B Akhil,1
Azhar Mahmood,1
Ramandeep Singh,1
RG Sharma,1
RJW Topley,1
Yash Thakur,1
S Gopal,1
S Nadeem,1
S Sreesanth,1
Arshad Khan,1
SB Jakati,1
Shahbaz Ahmed,1
Shahid Afridi,1
Shakib Al Hasan,1
AR Patel,1
AD Mathews,1
Sohail Tanvir,1
AC Thomas,1
AB McDonald,1
STR Binny,1
AB Dinda,1
TK Curran,1
A Mishra,1
A Singh,1
DP Vijaykumar,1
DR Smith,1
Harbhajan Singh,1
Harpreet Brar,1
HF Gurney,1
DP Nannes,1
I Sharma,1
I Udana,1
Imran Tahir,1
V Shankar,1
VG Arora,1
JA Richardson,1
DL Vettori,1
DJ Hooda,1
JDP Oram,1
JE Taylor,1
JEC Franklin,1
DE Bollinger,1
D Wiese,1
JO Holder,1
JP Behrendorff,1
JP Duminy,1
D Brevis,1
JR Hazlewood,1
CV Varun,1
Karanveer Singh,1
VR Aaron,1
KMDN Kulasekara,1
KP Pietersen,1
VR Iyer,1
CR Brathwaite,1
CK Langeveldt,1
LH Ferguson,1
LR Shukla,1
M Ashwin,1
M Jansen,1
