season,player,total_runs,total_wickets
2008,SR Watson,472,17
2009,RG Sharma,362,11
2010,JH Kallis,572,13
2010,A Symonds,429,12
2012,JH Kallis,409,15
2012,DJ Bravo,371,15
2013,SR Watson,543,13
2013,KA Pollard,420,10
2013,JH Kallis,311,16
2015,AD Russell,326,14
2017,BA Stokes,316,12
