team,location,total_matches,matches_won,win_percentage
Chennai Super Kings,away,252,145,57.54
Chennai Super Kings,home,273,156,57.14
Deccan Chargers,away,72,32,44.44
Deccan Chargers,home,78,26,33.33
Delhi Capitals,away,119,63,52.94
Delhi Capitals,home,91,47,51.65
Delhi Daredevils,away,155,59,38.06
Delhi Daredevils,home,178,80,44.94
Gujarat Lions,away,28,16,57.14
Gujarat Lions,home,31,10,32.26
Gujarat Titans,away,56,40,71.43
Gujarat Titans,home,50,28,56.0
Kings XI Punjab,away,206,90,43.69
Kings XI Punjab,home,198,92,46.46
Kochi Tuskers Kerala,away,14,6,42.86
Kochi Tuskers Kerala,home,14,6,42.86
Kolkata Knight Riders,away,286,146,51.05
Kolkata Knight Riders,home,259,135,52.12
Lucknow Super Giants,away,46,20,43.48
Lucknow Super Giants,home,59,38,64.41
Mumbai Indians,away,299,160,53.51
Mumbai Indians,home,267,151,56.55
Pune Warriors,away,45,12,26.67
Pune Warriors,home,46,12,26.09
Punjab Kings,away,56,30,53.57
Punjab Kings,home,73,28,38.36
Rajasthan Royals,away,260,118,45.38
Rajasthan Royals,home,222,118,53.15
Rising Pune Supergiant,away,18,10,55.56
Rising Pune Supergiant,home,14,10,71.43
Rising Pune Supergiants,away,14,6,42.86
Rising Pune Supergiants,home,14,4,28.57
Royal Challengers Bangalore,away,222,106,47.75
Royal Challengers Bangalore,home,279,133,47.67
Royal Challengers Bengaluru,away,18,12,66.67
Royal Challengers Bengaluru,home,30,14,46.67
Sunrisers Hyderabad,away,210,101,48.1
Sunrisers Hyderabad,home,200,95,47.5
