season,batsman,balls_faced,runs_scored,strike_rate
2012,DJ Bravo,124.0,255.0,205.65
2014,MS Dhoni,136.0,253.0,186.03
2018,MS Dhoni,118.0,252.0,213.56
2019,AD Russell,117.0,305.0,260.68
2019,HH Pandya,118.0,265.0,224.58
All-Time,AB de Villiers,611.0,1421.0,232.57
All-Time,TH David,270.0,556.0,205.93
All-Time,RR Pant,319.0,651.0,204.08
All-Time,AD Russell,526.0,1066.0,202.66
All-Time,V Kohli,558.0,1119.0,200.54
All-Time,RG Sharma,598.0,1176.0,196.66
All-Time,SV Samson,281.0,547.0,194.66
All-Time,SO Hetmyer,408.0,780.0,191.18
All-Time,SA Yadav,270.0,516.0,191.11
All-Time,MS Dhoni,1535.0,2896.0,188.66
All-Time,DJ Bravo,427.0,800.0,187.35
All-Time,KD Karthik,837.0,1565.0,186.98
All-Time,KL Rahul,335.0,624.0,186.27
All-Time,HH Pandya,641.0,1175.0,183.31
All-Time,KA Pollard,941.0,1708.0,181.51
All-Time,JP Duminy,395.0,712.0,180.25
All-Time,MP Stoinis,364.0,654.0,179.67
All-Time,R Tewatia,371.0,664.0,178.98
All-Time,Yuvraj Singh,337.0,601.0,178.34
All-Time,N Pooran,332.0,585.0,176.2
All-Time,DA Miller,610.0,1061.0,173.93
All-Time,SPD Smith,324.0,554.0,170.99
All-Time,SK Raina,389.0,664.0,170.69
All-Time,AT Rayudu,514.0,877.0,170.62
All-Time,YK Pathan,515.0,858.0,166.6
All-Time,JA Morkel,351.0,571.0,162.68
All-Time,RA Jadeja,938.0,1499.0,159.81
All-Time,KH Pandya,336.0,535.0,159.23
All-Time,Harbhajan Singh,370.0,581.0,157.03
All-Time,IK Pathan,359.0,563.0,156.82
All-Time,AR Patel,505.0,788.0,156.04
All-Time,MK Pandey,333.0,518.0,155.56
All-Time,MK Tiwary,326.0,501.0,153.68
